Stimulus,SAS Label,English Text,Target
CSQ010,Had problem with smell past 12 months?,"The next questions are about {your/SP's} sense of smell. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to smell, such as not being able to smell things or things not smelling the way they are supposed to?",Both males and females 40 YEARS - 150 YEARS
CSQ020,Had change ability to smell since age 25,"How would {you/SP} rate {your/his/her} ability to smell now as compared to when {you were/he was/she was} 25 years old? Is it better, worse or is there no change?",Both males and females 40 YEARS - 150 YEARS
CSQ030,"Smells bother you, but not others",Do some smells bother {you/SP} although they do not bother other people?,Both males and females 40 YEARS - 150 YEARS
CSQ040,Had phantom odor?,"{Do you/Does SP} sometimes smell an unpleasant, bad or burning odor when nothing is there?",Both males and females 40 YEARS - 150 YEARS
CSQ060,When noticed change in ability to smell,"How long ago {did you/did SP} first notice a problem with, or a change in, {your/his/her} ability to smell?",Both males and females 40 YEARS - 150 YEARS
CSQ070,Frequency of problem w/ ability to smell,Is the problem with {your/SP's} ability to smell always there or does it come and go?,Both males and females 40 YEARS - 150 YEARS
CSQ080,Had problem with taste past 12 months?,"The next questions are about {your/SP's} sense of taste. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to taste sweet, sour, salty or bitter foods and drinks?",Both males and females 40 YEARS - 150 YEARS
CSQ090A,Ability to Taste Salt,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  salt in foods like potato chips or pretzels.",Both males and females 40 YEARS - 150 YEARS
CSQ090B,Ability to Taste Sourness,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  sourness in foods like lemons or vinegar.",Both males and females 40 YEARS - 150 YEARS
CSQ090C,Ability to Taste Sweetness,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  sweetness in foods like peaches or ice cream.",Both males and females 40 YEARS - 150 YEARS
CSQ090D,Ability to Taste Bitterness,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  bitterness in drinks like unsweetened black coffee.",Both males and females 40 YEARS - 150 YEARS
CSQ100,Change in ability to taste food flavors?,"Is {your/SP's} ability to taste food flavors such as chocolate, vanilla or strawberry as good as when {you were/he was/she was} 25 years old?",Both males and females 40 YEARS - 150 YEARS
CSQ110,Persistent taste in mouth past 12 months,During the past 12 months {have you/has SP} had a taste or other sensation in {your/his/her} mouth that does not go away?,Both males and females 40 YEARS - 150 YEARS
CSQ120A,"Taste in mouth, Sweet",Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...,Both males and females 40 YEARS - 150 YEARS
CSQ120B,"Taste in mouth, Sour",Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...,Both males and females 40 YEARS - 150 YEARS
CSQ120C,"Taste in mouth, Salty",Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...,Both males and females 40 YEARS - 150 YEARS
CSQ120D,"Taste in mouth, Bitter",Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...,Both males and females 40 YEARS - 150 YEARS
