CIDs,Optical Rotation Angle
263,+9.8
7896,-18.8
5770,-118
2724385,+30.4
441207,+18
38853,-4.0
1065,-117
5953,+230
441074,+230
637552,-117
667449,+230
3032576,+230
3036746,+230
5484444,+230
6604605,-117
10448938,+230
24096961,+230
68638786,+230
10692,+15
14475285,+15
131854750,+15
222528,+55
131204,+29.5
442021,-149.5
69897601,-149.5
171548,+92
444679,-135
7344,-10
54680660,+23
24832091,+26.1
8067,+3.12
25203,+11.6
21909702,+11.6
44135375,+11.6
56841640,+11.6
101611432,+11.6
637566,+2
10690,-6.7
7027,+63.5
24749,+52.7
107526,+52.7
33032,+31.1
3495,+46.2
14982,+46.2
128229,+46.2
656656,+46.2
5460305,+46.2
9897518,+46.2
16213698,+46.2
16395512,+46.2
45356931,+46.2
45358013,+46.2
45358130,+46.2
46783814,+46.2
53312460,+46.2
78577433,+46.2
138106958,+46.2
167560,+24.2
10313294,+24.2
23666328,+24.2
23668622,+24.2
23672308,+24.2
23676143,+24.2
23677676,+24.2
23689119,+24.2
53399003,+24.2
56927896,+24.2
70788954,+24.2
86748263,+24.2
54675810,-16.6
1549026,+2
1254,+2.2
7794,+13.09
8294,-9.45
6549,+2
5951,+14.45
23667548,+104.4
6466,+75
6251,-0.49
6654,+33.52
5780,-2.0
6173,+88
2735101,+88
5284498,+88
1072,+56.5
6759,+56.5
493570,+56.5
71310809,+56.5
54670067,+24
5280793,+102.5
5280795,+84.8
6675,+25.6
10255083,+51.6
10049,-37.7
10492,-37.7
64685,-37.7
657014,-37.7
1201518,-37.7
6321405,-37.7
6552009,-37.7
18639728,-37.7
44630107,-37.7
179,-39.4
221493,+37
9290,+6
10982878,+6
71308416,+6
87223424,+6
6613,
167945,
145742,-85.0
5284430,+104
637563,+0.08
6322,+26.9
5960,+4.36
6197,-33
441140,+337
6758,-228
19649,-76
5950,+2.8
6274,-39.7
6140,-35.1
6850740,+11
14030006,
23308252,+1
441071,-104.3
11859396,-104.3
12359079,-104.3
22833295,-104.3
135398658,+23
6057,-10.6
5962,+14.6
5862,+9.7
60960,+9.7
446937,+9.7
5460971,+9.7
6419722,+9.7
5288826,
5359371,-88.9
10219,-50
6000,+190
5051,-97
32681,-97
5280954,-97
5353923,-97
439302,-26.2
8549,-117
94175,-117
441073,-117
2728270,-117
3034034,-117
5748152,-117
14822542,-117
44630461,-117
91927769,-117
91971361,-117
129316724,-117
2724224,+34.6
13652278,+34.6
14985,+0.65
1548900,+0.65
1742129,+0.65
12359166,+0.65
5144,-0
184933,-59
2734998,-59
4289526,-59
5311498,-59
5460135,-59
6442967,-59
6474318,-59
10887743,-59
11970261,-59
16212801,-59
22836442,-59
23806828,-59
24892734,-59
25102581,-59
25195380,-59
44176380,-59
45357148,-59
46853873,-59
54605677,-59
70678590,-59
71308299,-59
71752967,-59
73357424,-59
73995027,-59
91898871,-59
118701720,-59
123134034,-59
124080944,-59
129627537,-59
129627679,-59
129893524,-59
132980806,-59
137332389,-59
139030973,-59
145705982,-59
145875202,-59
154825555,-59
156587311,-59
156619387,-59
6231,+108
12035,+5
1972,+333
14956,+333
5280965,+333
5386092,+333
9919339,+333
16667679,+333
23863720,+333
44399170,+333
44421047,+333
46783793,+333
53486284,+333
56971651,+333
71311649,+333
71313388,+333
91819969,+333
91827561,+333
138059742,+333
145705939,+333
156595875,+333
6249,+287.9
3003,+63.5
9782,+63.5
969487,+63.5
5702012,+63.5
6546942,+63.5
6710614,+63.5
11014684,+63.5
12358601,+63.5
21140858,+63.5
40469538,+63.5
71299643,+63.5
121231050,+63.5
133634290,+63.5
134688830,+63.5
138059751,+63.5
145705940,+63.5
5773,+47.7
6024,+50
5959,+18.6
2786,+214
29029,+214
446598,+214
16051951,+214
27281318,+214
45357041,+214
46783762,+214
53245639,+214
129009913,+214
129627692,+214
5284371,-156
2833,-429
6167,-429
45038708,-429
6253,+158
5743,+77.5
33036,+49.8
5826,+28
5360696,+39.6
31703,+248
9294,-6.3
12560,-78
14052,+3
3337,-9.6
6215,+95
15209,+140
3467,+146
72395,+146
441305,+146
132477936,+146
146157093,+146
5284569,-203
12597,+44
6032,+126
5819,-4.4
3000540,+143
5920,+21.5
10631,+75
4095,-32
126941,-0.6
6741,+83
54675783,-166
4568,+21
14960,+21
5311331,+21
5702099,+21
6420032,+21
6433272,+21
11286230,+21
16219709,+21
24840667,+21
44424838,+21
49867935,+21
53385488,+21
60196358,+21
71299255,+21
71308475,+21
73952271,+21
102090452,+21
129627734,+21
133124921,+21
138403272,+21
146156144,+21
146679386,+21
156619894,+21
162343947,+21
5983,-76
5910,+106
2349,+269
5904,+269
101718,+269
199209,+269
5865,+172
10100,+67.3
7028,+51.2
5833,-33.5
25249,+35.7
54675776,-254
31307,+92
5978,+26.2
62313,+26.2
3717450,+26.2
5388993,+26.2
6324671,+26.2
45358158,+26.2
71296921,+26.2
122172881,+26.2
124605123,+26.2
134755071,+26.2
33613,+248
5901,-132
233502,-132
25796514,-132
28204,+57
3000502,-44.6
6234,+116
18381,-25
5790,-21
460612,+7.5
9681,-45
29051,-51
163659,-51
230076,-51
457831,-51
5284610,-51
6326719,-51
89624207,-51
90479798,-51
122172942,-51
138107623,-51
146157736,-51
8378,+87
24978553,+87
4734,-28.8
9853654,-28.8
138106886,-28.8
13769,-45.6
36294,+129
13342,-32
241903,-32
442110,-32
3823887,-32
6710780,-32
11104792,-32
44417235,-32
71720356,-32
129009934,-32
133126830,-32
644160,+18.6
5284595,-155.3
5284596,-194.5
6083,-47.5
6005,-48
16129617,-88
16133802,-88
16162116,-88
3070,+97.5
5311071,+97.5
5353584,+97.5
5702045,+97.5
12310749,+97.5
21678311,+97.5
46173763,+97.5
98298821,+97.5
134715456,+97.5
146159466,+97.5
154701841,+97.5
5280363,+23.5
6011,+32
9051,-484.5
5870,+152
3302,+31
13765,+31
15558463,+31
134688371,+31
31378,
6446,
5876,+92
5754,+167
5284570,-194
6238,+105.6
6047,-13.1
5359272,-56
6300,
8226,-45
6010,+69
9904,+55
156391,+66
6230,-31.7
275196,+32.7
5878,-23
249098,-23
