TGSC ID,Tags,Original Tags,Description,Concentration %,Solvent,Strength,Recommended Max Concentration %,Substantivity (Hours),Substantivity Min (Hours),Substantivity Max (Hours),Substantivity Concentration %,Substantivity Solvent,Source,Source Year,Sample Supplier
1000021,['bland'],false,bland fatty,,,,,,,,,,,,
1000031,"['floral','leafy','hyacinth','green','mushroom','earthy','walnut']",true,floral leafy hyacinth green mushroom earthy walnut,100.0,,,,12.0,,,100.0,,"Luebke, William tgsc",1989,International Flavors & Fragrances Inc.
1000031,"['floral','sweet','citrus','green','honey']",true,"Sweet, floral, citrus, green with a honey nuance",,,,,,,,,,"Mosciano, Gerard P&F 15, No. 6, 35",1990,
1000041,"['woody','floral','cashew','nutty','powdery','orris']",true,woody floral cashew nutty powdery orris,100.0,,,,400.0,,,100.0,,"Luebke, William tgsc",1989,International Flavors & Fragrances Inc.
1000041,"['woody','floral','violet','acidic','green','berry']",true,"Woody, floral ionone, with acidic green berry nuances",,,,,,,,,,"Mosciano, Gerard P&F 16, No. 3, 79",1991,
1000051,"['floral','rose','green','powdery','tropical']",true,floral rose absolute green powdery tropical,100.0,,,,,,,,,"Luebke, William tgsc",1992,International Flavors & Fragrances Inc.
1000091,['almost odorless'],false,almost odorless,100.0,,,,,,,,,,,
1000111,"['anisic','sweet','hawthorn','powdery','balsamic','acacia']",true,sweet hawthorn anisic powdery balsamic acacia,100.0,,,,251.0,,,10.0,dipropylene glycol,"Luebke, William tgsc",1985,Harrmann & Reimer Corporation
1000111,"['anisic','sweet','vanilla','powdery','balsamic','cherry maraschino cherry']",true,"Sweet, anisic, vanilla-like, with powdery balsamic and benzaldehyde nuances",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 1, 41",1992,
1000131,"['floral','sweet','pungent','hawthorn','mimosa','almond','acacia','chemical']",true,sweet pungent hawthorn mimosa almond acacia chemical,1.0,dipropylene glycol,high,1.0,7.0,,,100.0,,"Luebke, William tgsc",1983,Givaudan Corporation
1000131,"['floral','sweet','cherry','marzipan','coumarinic','almond','nutty','heliotrope','vanilla']",true,"sweet, cherry pit, marzipan and coumarinic. It has a slight almond nutty and heliotropin-like vanilla nuance",1.0,,,,,,,,,"Mosciano, Gerard P&F 26, No. 2, 40",2001,
1000141,"['floral','fresh','petal','magnolia','oily','waxy']",true,floral fresh petal magnolia oily waxy,100.0,,,,,336.0,,100.0,,"Luebke, William tgsc",1997,"Bedoukian Research, Inc."
1000141,"['floral','sweet','fruity','waxy','green']",true,"Sweet, fruity, waxy, floral and green",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 3, 57",1992,
1000161,"['waxy','fatty','amber','incense','dry','citrus peel','musk']",true,fatty waxy amber incense dry citrus peel musk,100.0,,,,400.0,,,100.0,,"Luebke, William tgsc",1987,Givaudan Corporation
1000161,"['waxy','fatty','dairy','creamy','fishy','fruity','pear']",true,"Fatty, waxy, dairy, creamy and fishy with a fruity, pear nuance",,,,,,,,,,"Mosciano, Gerard P&F 22, No. 3, 47",1997,
1000171,"['aldehydic','sweet','waxy','orange peel','citrus','floral']",true,sweet aldehydic waxy orange peel citrus floral,10.0,dipropylene glycol,high,1.0,224.0,,,100.0,,"Luebke, William tgsc",1981,Berje Inc.
1000171,"['aldehydic','sweet','orange','waxy','citrus rind']",true,"Sweet, aldehydic, orange, waxy and citrus rind",,,,,,,,,,"Mosciano, Gerard P&F 20, No. 4, 23",1995,
1000172,"['aldehydic','sweet','waxy','orange peel','citrus','floral']",true,sweet aldehydic waxy orange peel citrus floral,10.0,dipropylene glycol,high,1.0,224.0,,,100.0,,"Luebke, William tgsc",1981,Berje Inc.
1000172,"['aldehydic','sweet','orange','waxy','citrus rind']",true,"Sweet, aldehydic, orange, waxy and citrus rind",,,,,,,,,,"Mosciano, Gerard P&F 20, No. 4, 23",1995,
1000191,"['musk','sweet','clean','amber']",true,sweet clean musk amber,100.0,,,,,,,,,"Luebke, William tgsc",1989,International Flavors & Fragrances Inc.
1000211,"['fresh','clean','fatty','floral','rose','orange','dusty','wet','oily']",false,fresh clean fatty floral rose orange dusty wet oily,100.0,,,,,,,,,,,
1000212,"['floral','fresh','clean','fatty','rose','orange','dusty','wet','oily']",true,fresh clean fatty floral rose orange dusty wet oily,100.0,,,,44.0,,,100.0,,"Luebke, William tgsc",1982,Berje Inc.
1000221,"['floral','rose','cortex','green','geranium','powdery','metallic']",true,rose cortex green floral geranium powdery metallic,1.0,dipropylene glycol,high,1.0,388.0,,,10.0,dipropylene glycol,"Luebke, William tgsc",1989,Dragoco Inc.
