Sr. No,Primary Odor,Sub-odor,CAS-Id,Chemical name
1,Alliaceous,Alliaceous,74-93-1,Methanethiol
2,Alliaceous,Alliaceous,75-08-1,Ethanethiol
3,Alliaceous,Alliaceous,75-33-2,2-Propanethiol
4,Alliaceous,Alliaceous,100-53-8,Benzyl mercaptan
5,Alliaceous,Alliaceous,107-03-9,1-Propanethiol
6,Alliaceous,Alliaceous,107-18-6,Allyl alcohol
7,Alliaceous,Alliaceous,108-98-5,Benzenethiol
8,Alliaceous,Alliaceous,110-02-1,Thiophene
9,Alliaceous,Alliaceous,110-66-7,1-Pentanethiol
10,Alliaceous,Alliaceous,110-81-6,Diethyl disulfide
11,Alliaceous,Alliaceous,111-31-9,1-Hexanethiol
12,Alliaceous,Alliaceous,111-47-7,Dipropyl sulfide
13,Alliaceous,Alliaceous,505-23-7,"1,3-Dithiane"
14,Alliaceous,Alliaceous,507-09-5,Thioacetic acid
15,Alliaceous,Alliaceous,544-40-1,Dibutyl sulfide
16,Alliaceous,Alliaceous,554-14-3,2-Methylthiophene
17,Alliaceous,Alliaceous,623-51-8,Ethyl thioglycolate
18,Alliaceous,Alliaceous,624-89-5,Ethyl methyl sulfide
19,Alliaceous,Alliaceous,629-19-6,Dipropyl disulfide
20,Alliaceous,Alliaceous,693-95-8,4-Methylthiazole
21,Alliaceous,Alliaceous,870-23-5,Allyl mercaptan
22,Alliaceous,Alliaceous,1618-26-4,Bis(methylthio)methane
23,Alliaceous,Alliaceous,1679-07-8,Cyclopentanethiol
24,Alliaceous,Alliaceous,2050-87-5,Diallyl trisulfide
25,Alliaceous,Alliaceous,2179-57-9,Diallyl disulfide
26,Alliaceous,Alliaceous,2179-59-1,Allyl propyl disulfide
27,Alliaceous,Alliaceous,2179-60-4,Methyl propyl disulfide
28,Alliaceous,Alliaceous,2550-40-5,Dicyclohexyl disulfide
29,Alliaceous,Alliaceous,3658-80-8,Dimethyl trisulfide
