VARNAME,VARDESC,TYPE,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAND_WRITE,Which hand do you write with?,encoded value,0=No response,1=Left,2=Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAND_THROW,Which hand do you throw with?,encoded value,0=No response,1=Left,2=Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORK_ENVIOR,How would you describe your work environment?,encoded value,0=No response,1=Home,2=Factory,3=Office,4=Outdoors,5=Other,6=Do not work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELF_RATE_SMELL,How would you describe your sense of smell?,encoded value,0=No response,1=Poor,2,3,4,5=Excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAYS_W_PERF,"How many days a week do you use cologne, perfume, or aftershave?",encoded value,0=No response,1=1-2 days a week,2=3-4 days a week,3=5-7 days a week,4=Do not use any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERF_GT_1,"Do you ever use cologne, perfume, or aftershave more than once daily?",encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM_EXPOSE,Have you ever experienced a loss of smell due to exposure to chemicals?,encoded value,0=No,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREG,Have you ever experienced a loss of smell due to pregnancy?,encoded value,0=No,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLU_COLD,"Have you ever experienced a loss of smell due to flu, common cold, sinus infection?",encoded value,0=No,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD_INJ,Have you ever experienced a loss of smell due to head injury?,encoded value,0=No,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERGIES,Have you ever experienced a loss of smell due to allergy attack?,encoded value,0=No,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK,Have you ever experienced a loss of smell due to unknown causes?,encoded value,0=No,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO_LOSS,I have never experienced a loss of smell,encoded value,0=No,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGAIN_SMELL,"If you have lost your sense of smell, have you since regained it?",encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD_ABOUT_LOSS,Have you ever spoken to a physician about your sense of smell?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERG_ANIM,Have you been diagnosed by a physician as having allergies to animals?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERG_POLLEN,Have you been diagnosed by a physician as having allergies to pollen?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERG_FOOD,Have you been diagnosed by a physician as having allergies to food?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERG_DRUG,Have you been diagnosed by a physician as having allergies to drugs?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE_ABOVE,I have never been diagnosed by a physician as having allergies,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHRITIS,Have you ever been diagnosed as having arthritis?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES,Have you ever been diagnosed as having diabetes?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULCER,Have you ever been diagnosed as having an ulcer?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPERTEN,Have you ever been diagnosed as having hypertension?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE,I have not been diagnosed with any of the above.,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOKE,Do you currently smoke tobacco?,encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,What is your age?,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIP,What is your zip/postal code?,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,What country do you live in?,string,0=No response,1=Argentina,2=Bolivia,3=Brazil,4=Chile,5=Colombia,6=Costa Rica,7=Equador,8=Guatemala,9=Honduras,10=Mexico,11=Panama,12=Peru,13=Uruguay,14=Venezuela,15=Egypt,16=Kenya,17=Malawi,18=Nigeria,19=South Africa,20=Zambia,21=Zimbabwe,22=Bahrain,23=China,24=Taiwan,25=Hong Kong,26=India,27=Iran,28=Israel,29=Japan,30=Kuwait,31=Malaysia,32=Oman,33=Pakistan,34=Saudi Arabia,35=Singapore,36=South Korea,38=Thailand,39=SRI or TURK,40=United Arab Emirates,41=USSR,42=Australia,43=New Zealand,44=Iceland,45=Bahamas,46=Barbados,47=Bermuda,48=Dominican Republic,49=Jamaica,50=Nether. Antilles,51= Trin & Tabago,52=Austria,53=Belgium,54=Czechos,55=Denmark,56=Finland,57=France,58=Greece,59=Hungary,60=Italy,61=Luxemborugh,62=Netherlands,63=Norway,64=Poland,65=Portugal,66=Romania,67=Spain,68=Sweden,69=Switzerland,70=West Germany,71=Yogoslavia,72=Cyprus,73=Malta,74=Indonesia,75=Papua New Guinea,76=Philippines,77=Channel Islands,78=England,79=Ireland,80=Northern Ireland,81=Scotland,82=Wales,83=Canada,84=USA
SEX,Are you male or female?,encoded value,0=No response,1=Male,2=Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREGNANT,Are you pregnant?,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHNIC,How would you best describe yourself?,encoded value,0=No response,1=Black,2=White,3=Asian,4=American Indian,5=Hispanic,6=Other,7=Prefer not to answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_SMELL,Did you smell something? (Androstenone),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY_SMELL,Did you smell something? (Amyl acetate),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAX_SMELL,Did you smell something? (Galaxolide),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUG_SMELL,Did you smell something? (Eugenol),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCAP_SMELL,Did you smell something? (Mercaptans),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE_SMELL,Did you smell something? (Rose),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_QUAL,How would you rate the quality of this odor? (Androstenone),encoded value,0=No response,1=Unpleasant,2,3,4,5=Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_QUAL,How would you rate the quality of this odor? (Amyl acetate),encoded value,0=No response,1=Unpleasant,2,3,4,5=Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL_QUAL,How would you rate the quality of this odor? (Galaxolide),encoded value,0=No response,1=Unpleasant,2,3,4,5=Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUG_QUAL,How would you rate the quality of this odor? (Eugenol),encoded value,0=No response,1=Unpleasant,2,3,4,5=Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCAP_QUAL,How would you rate the quality of this odor? (Mercaptans),encoded value,0=No response,1=Unpleasant,2,3,4,5=Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE_QUAL,How would you rate the quality of this odor? (Rose),encoded value,0=No response,1=Unpleasant,2,3,4,5=Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_INT,How intense is the odor? (Androstenone),encoded value,0=No response,1=Weak,2,3,4,5=Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_INT,How intense is the odor? (Amyl acetate),encoded value,0=No response,1=Weak,2,3,4,5=Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL_INT,How intense is the odor? (Galaxolide),encoded value,0=No response,1=Weak,2,3,4,5=Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUG_INT,How intense is the odor? (Eugenol),encoded value,0=No response,1=Weak,2,3,4,5=Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER_INT,How intense is the odor? (Mercaptans),encoded value,0=No response,1=Weak,2,3,4,5=Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE_INT,How intense is the odor? (Rose),encoded value,0=No response,1=Weak,2,3,4,5=Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_MEM,Did the odor evoke a vivid memory? (Androstenone),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_MEM,Did the odor evoke a vivid memory? (Amyl acetate),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL_MEM,Did the odor evoke a vivid memory? (Galaxolide),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUG_MEM,Did the odor evoke a vivid memory? (Eugenol),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER_MEM,Did the odor evoke a vivid memory? (Mercaptans),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE_MEM,Did the odor evoke a vivid memory? (Rose),encoded value,0=No response,1=Yes,2=No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_EAT,Would you eat something that smelled like this? (Androstenone),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_EAT,Would you eat something that smelled like this? (Amyl acetate),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL_EAT,Would you eat something that smelled like this? (Galaxolide),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUG_EAT,Would you eat something that smelled like this? (Eugenol),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER_EAT,Would you eat something that smelled like this? (Mercaptans),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE_EAT,Would you eat something that smelled like this? (Rose),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_WEAR,Would you apply something that smelled like this to your body? (Androstenone),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_WEAR,Would you apply something that smelled like this to your body? (Amyl acetate),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL_WEAR,Would you apply something that smelled like this to your body? (Galaxolide),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUG_WEAR,Would you apply something that smelled like this to your body? (Eugenol),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER_WEAR,Would you apply something that smelled like this to your body? (Mercaptans),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE_WEAR,Would you apply something that smelled like this to your body? (Rose),encoded value,0=No response,1=Yes,2=No,3=No opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_DES,Which word best describes this odor? (Androstenone),encoded value,0=No response,1=No odor,2=Floral,3=Musky,4=Urine,5=Foul,6=Ink,7=Spicy,8=Woody,9=Fruity,10=Burnt,11=Sweet,12=Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_DES,Which word best describes this odor? (Amyl acetate),encoded value,0=No response,1=No odor,2=Floral,3=Musky,4=Urine,5=Foul,6=Ink,7=Spicy,8=Woody,9=Fruity,10=Burnt,11=Sweet,12=Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL_DES,Which word best describes this odor? (Galaxolide),encoded value,0=No response,1=No odor,2=Floral,3=Musky,4=Urine,5=Foul,6=Ink,7=Spicy,8=Woody,9=Fruity,10=Burnt,11=Sweet,12=Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUG_DES,Which word best describes this odor? (Eugenol),encoded value,0=No response,1=No odor,2=Floral,3=Musky,4=Urine,5=Foul,6=Ink,7=Spicy,8=Woody,9=Fruity,10=Burnt,11=Sweet,12=Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER_DES,Which word best describes this odor? (Mercaptans),encoded value,0=No response,1=No odor,2=Floral,3=Musky,4=Urine,5=Foul,6=Ink,7=Spicy,8=Woody,9=Fruity,10=Burnt,11=Sweet,12=Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE_DES,Which word best describes this odor? (Rose),encoded value,0=No response,1=No odor,2=Floral,3=Musky,4=Urine,5=Foul,6=Ink,7=Spicy,8=Woody,9=Fruity,10=Burnt,11=Sweet,12=Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand,Left/Right handedness,encoded value,0=No response,1=Left,2=Ambidextrous,3=Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decage,Age in decades,encoded value,0=No response,1=Teens,2=Twenties,3=Thirties,4=Forties,5=Fifties,6=Sixties,7=Seventies,8=Eighties,9=Nineties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corr1,Identify Androstenone,encoded value,0=No response,1=Correct,2=Incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corr2,Identify Amyl acetate,encoded value,0=No response,1=Correct,2=Incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corr3,Identify Galaxolide,encoded value,0=No response,1=Correct,2=Incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corr4,Identify Eugenol,encoded value,0=No response,1=Correct,2=Incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corr5,Identify Gas,encoded value,0=No response,1=Correct,2=Incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corr6,Identify Rose,encoded value,0=No response,1=Correct,2=Incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totcorr,Total correct odor identifications,encoded value,0=Mislabeled each G,7a=All G1 to G6 missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,Origin of data,encoded value,0=No response,1=Canada,2=US-Selected Sample,3=Non-North American,4=Additional US-Unselected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1a6_0,Total can't smell,encoded value,0=No response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
