"","HAC","HAC2","Odor","Odorless","Variance","Trial1","Trial2","Trial3","Trial4","Trial5","Trial6","Trial7","Trial8","Trial9","Trial10"
"1",1,1,0.0435082316398621,0.956491768360138,0.0416152654194342,0,0,0,0,0,0,0,0,0,0
"2",2,4,0.0968345403671265,0.903165459632874,0.0874576121590138,0,0,0,0,0,0,0,1,0,0
"3",2,4,0.861158013343811,0.138841986656189,0.119564889397552,1,1,1,1,0,1,1,1,1,1
"4",2,4,0.861158013343811,0.138841986656189,0.119564889397552,1,1,1,1,1,1,1,1,1,1
"5",3,9,0.947800099849701,0.0521999001502991,0.0494750705745979,1,1,1,1,1,1,1,1,1,1
"6",3,9,0.966394662857056,0.0336053371429443,0.0324760184584534,1,1,1,1,0,1,1,1,1,1
"7",3,9,0.94793975353241,0.0520602464675903,0.0493499772053241,1,1,1,1,1,1,1,1,1,1
"8",3,9,0.927068293094635,0.072931706905365,0.0676126730332349,1,1,1,1,1,1,1,0,1,1
"9",3,9,0.907451987266541,0.0925480127334595,0.0839828780725469,1,1,1,1,1,1,1,1,1,1
"10",3,9,0.950390338897705,0.0496096611022949,0.0471485426276104,1,1,1,1,1,1,0,1,0,1
"11",3,9,0.945471942424774,0.0545280575752258,0.0515547485122987,1,1,1,1,1,1,1,1,1,0
"12",3,9,0.950390338897705,0.0496096611022949,0.0471485426276104,1,1,1,1,0,1,1,1,1,1
"13",3,9,0.778380274772644,0.221619725227356,0.172504422617507,1,1,0,1,1,1,0,0,0,1
"14",3,9,0.945075571537018,0.0549244284629822,0.0519077356209969,1,1,1,1,1,1,1,1,1,1
"15",3,9,0.861321210861206,0.138678789138794,0.119446982581792,1,0,1,1,1,1,1,1,1,1
"16",3,9,0.945075571537018,0.0549244284629822,0.0519077356209969,1,1,1,1,1,1,1,1,1,1
"17",4,16,0.243379727005959,0.756620272994041,0.184146035488464,0,0,0,0,0,0,0,1,0,0
"18",4,16,0.367294996976852,0.632705003023148,0.232389382172626,1,0,1,0,0,1,0,1,1,0
"19",4,16,0.243379727005959,0.756620272994041,0.184146035488464,1,0,0,0,0,0,1,0,0,1
"20",4,16,0.367294996976852,0.632705003023148,0.232389382172626,0,0,1,0,0,0,0,1,0,1
"21",4,16,0.896332561969757,0.103667438030243,0.0929205003224887,1,0,1,0,1,1,1,1,1,1
"22",4,16,0.84997421503067,0.15002578496933,0.127518048813666,1,1,1,1,1,1,0,1,1,0
"23",4,16,0.851849138736725,0.148150861263275,0.126202183570225,0,1,1,0,1,1,0,1,1,1
"24",4,16,0.899820983409882,0.100179016590118,0.0901431812251552,1,1,1,1,1,0,1,1,1,0
"25",4,16,0.951119840145111,0.0488801598548889,0.0464908898274494,1,1,0,1,1,1,1,1,1,1
"26",4,16,0.926243424415588,0.0737565755844116,0.0683165431424726,1,1,1,1,1,1,1,1,1,1
"27",4,16,0.926243424415588,0.0737565755844116,0.0683165431424726,0,1,1,0,1,1,1,1,1,1
"28",4,16,0.984042704105377,0.0159572958946228,0.0157026606023543,1,1,1,1,1,1,1,1,1,1
"29",4,16,0.955371379852295,0.0446286201477051,0.0426369064114169,1,1,1,1,1,1,1,1,1,1
"30",4,16,0.991197347640991,0.00880265235900879,0.00872516567045523,1,1,1,1,1,1,1,1,1,1
"31",4,16,0.984049081802368,0.0159509181976318,0.0156964864062843,1,1,1,1,1,1,1,1,1,1
"32",4,16,0.983421266078949,0.016578733921051,0.016303879502626,1,1,1,1,1,1,1,1,1,1
"33",4,16,0.926243424415588,0.0737565755844116,0.0683165431424726,1,1,1,1,1,1,1,1,1,1
"34",4,16,0.955147743225098,0.0448522567749023,0.0428405318371006,1,1,1,1,1,1,1,1,1,1
"35",4,16,0.851849138736725,0.148150861263275,0.126202183570225,1,1,1,1,1,1,1,1,1,1
"36",4,16,0.899820983409882,0.100179016590118,0.0901431812251552,1,1,1,1,1,1,1,1,1,1
"37",4,16,0.951119840145111,0.0488801598548889,0.0464908898274494,1,1,1,1,1,1,1,1,1,1
"38",4,16,0.926243424415588,0.0737565755844116,0.0683165431424726,1,1,1,1,1,1,1,1,1,1
"39",4,16,0.971904873847961,0.0280951261520386,0.0273057900385396,1,1,1,1,1,1,1,1,1,1
"40",4,16,0.926243424415588,0.0737565755844116,0.0683165431424726,1,1,1,1,1,1,1,1,1,1
"41",4,16,0.984042704105377,0.0159572958946228,0.0157026606023543,1,1,1,1,1,1,1,1,1,1
"42",4,16,0.991197347640991,0.00880265235900879,0.00872516567045523,1,1,1,1,1,1,1,1,1,1
"43",4,16,0.984049081802368,0.0159509181976318,0.0156964864062843,1,1,1,1,1,1,1,1,1,1
"44",4,16,0.983421266078949,0.016578733921051,0.016303879502626,1,1,1,1,1,1,1,1,1,1
"45",4,16,0.984049081802368,0.0159509181976318,0.0156964864062843,1,1,1,1,1,1,1,1,1,1
"46",4,16,0.899820983409882,0.100179016590118,0.0901431812251552,1,1,1,1,1,1,1,1,1,1
"47",4,16,0.955371379852295,0.0446286201477051,0.0426369064114169,1,1,1,1,1,1,0,1,1,1
"48",4,16,0.984049081802368,0.0159509181976318,0.0156964864062843,1,1,1,1,1,1,1,1,1,1
"49",4,16,0.984042704105377,0.0159572958946228,0.0157026606023543,1,1,1,1,1,1,1,1,1,1
"50",4,16,0.983421266078949,0.016578733921051,0.016303879502626,1,1,1,1,1,1,1,1,1,1
"51",4,16,0.955147743225098,0.0448522567749023,0.0428405318371006,1,1,1,1,1,1,1,1,1,1
"52",4,16,0.899820983409882,0.100179016590118,0.0901431812251552,1,1,1,1,1,1,1,1,1,0
"53",4,16,0.971904873847961,0.0280951261520386,0.0273057900385396,1,1,1,1,1,1,1,1,1,1
"54",4,16,0.971904873847961,0.0280951261520386,0.0273057900385396,1,1,1,1,1,1,1,1,1,1
"55",4,16,0.949688196182251,0.050311803817749,0.0477805262143534,1,1,0,1,1,1,1,1,1,1
"56",4,16,0.84997421503067,0.15002578496933,0.127518048813666,0,1,1,0,1,1,0,1,1,1
"57",4,16,0.951119840145111,0.0488801598548889,0.0464908898274494,1,1,1,1,0,1,1,1,1,1
"58",4,16,0.971904873847961,0.0280951261520386,0.0273057900385396,1,1,1,1,1,1,1,0,1,1
"59",4,16,0.984042704105377,0.0159572958946228,0.0157026606023543,1,1,1,1,1,1,1,1,1,1
"60",5,25,0.791818380355835,0.208181619644165,0.164842032886497,1,1,1,1,1,1,1,1,1,1
"61",5,25,0.963692545890808,0.0363074541091919,0.0349892228853008,1,1,1,1,1,1,1,1,1,1
"62",5,25,0.896656215190887,0.103343784809113,0.0926638469504404,1,0,1,1,1,1,1,1,1,1
"63",5,25,0.92474901676178,0.0752509832382202,0.0695882727599013,1,1,1,0,1,1,1,0,1,1
"64",5,25,0.970961689949036,0.0290383100509644,0.0281950866003484,1,1,1,1,1,1,1,1,1,1
"65",5,25,0.994123876094818,0.00587612390518188,0.00584159507303283,1,1,1,1,1,1,1,1,1,1
"66",5,25,0.847650408744812,0.152349591255188,0.129139193299565,1,1,1,1,0,1,1,0,1,1
"67",5,25,0.918483793735504,0.0815162062644958,0.07487131438074,1,1,1,1,1,1,1,1,1,1
"68",5,25,0.959564864635468,0.0404351353645325,0.0388001351925844,1,1,1,1,1,1,1,1,1,1
"69",5,25,0.958085417747498,0.0419145822525024,0.0401577500471006,1,1,1,1,1,1,1,1,1,1
"70",5,25,0.896656215190887,0.103343784809113,0.0926638469504404,1,1,1,1,1,1,1,1,1,1
"71",5,25,0.970961689949036,0.0290383100509644,0.0281950866003484,1,1,1,1,1,1,1,1,1,1
"72",5,25,0.975418746471405,0.024581253528595,0.0239770155035579,1,1,1,1,1,1,1,1,1,1
"73",5,25,0.630349457263947,0.369650542736053,0.233009018990995,1,1,0,1,1,1,1,1,0,0
"74",5,25,0.975418746471405,0.024581253528595,0.0239770155035579,1,1,1,1,1,1,1,1,1,1
"75",5,25,0.955636501312256,0.0443634986877441,0.0423953786719267,1,1,0,1,1,1,1,1,0,1
"76",5,25,0.847650408744812,0.152349591255188,0.129139193299565,1,0,1,1,0,1,1,1,1,1
"77",5,25,0.959564864635468,0.0404351353645325,0.0388001351925844,1,1,0,0,1,1,1,1,1,1
"78",5,25,0.760072112083435,0.239927887916565,0.182362496516461,1,0,0,1,1,1,1,1,0,1
"79",5,25,0.994927167892456,0.00507283210754395,0.00504709848195262,1,1,1,1,1,1,1,1,1,1
"80",5,25,0.994426727294922,0.00557327270507812,0.00554221133643296,1,1,1,1,1,1,1,1,1,1
"81",5,25,0.994426727294922,0.00557327270507812,0.00554221133643296,1,1,1,1,1,1,1,1,1,1
"82",5,25,0.905035555362701,0.0949644446372986,0.085946198892028,1,1,0,1,1,1,1,1,1,1
"83",5,25,0.85513836145401,0.14486163854599,0.123876744223761,1,1,1,1,0,1,1,1,1,1
"84",5,25,0.94216513633728,0.0578348636627197,0.0544899922078343,1,1,1,0,1,1,1,1,1,1
"85",5,25,0.959885358810425,0.0401146411895752,0.0385054567518068,1,1,1,1,1,1,1,1,1,1
"86",5,25,0.84329092502594,0.15670907497406,0.132151340794834,1,0,1,1,1,1,1,1,1,1
"87",5,25,0.925133466720581,0.0748665332794189,0.0692615354741406,1,1,0,1,1,1,1,1,1,1
"88",5,25,0.918300926685333,0.0816990733146667,0.0750243347341915,1,1,1,1,1,1,1,0,1,1
"89",5,25,0.85513836145401,0.14486163854599,0.123876744223761,1,1,0,1,1,1,1,1,1,0
"90",5,25,0.94216513633728,0.0578348636627197,0.0544899922078343,1,1,1,1,1,1,1,1,1,1
"91",5,25,0.906279861927032,0.0937201380729675,0.0849366737925514,1,1,1,1,1,0,1,1,1,1
"92",5,25,0.963692545890808,0.0363074541091919,0.0349892228853008,1,1,1,1,1,1,1,1,1,1
"93",5,25,0.896656215190887,0.103343784809113,0.0926638469504404,1,1,1,1,1,1,1,1,1,1
"94",5,25,0.958085417747498,0.0419145822525024,0.0401577500471006,1,1,1,1,1,1,1,1,1,1
"95",5,25,0.92474901676178,0.0752509832382202,0.0695882727599013,1,1,1,0,1,1,1,1,1,0
"96",5,25,0.974930584430695,0.0250694155693054,0.0244409399723189,1,1,1,1,1,1,1,1,1,1
"97",5,25,0.990652680397034,0.00934731960296631,0.00925994721920631,1,1,1,1,1,1,1,1,1,1
"98",5,25,0.958085417747498,0.0419145822525024,0.0401577500471006,1,1,1,1,1,1,1,1,1,1
"99",5,25,0.896656215190887,0.103343784809113,0.0926638469504404,1,1,1,1,1,1,1,1,1,1
"100",5,25,0.975418746471405,0.024581253528595,0.0239770155035579,1,1,1,1,1,0,1,1,1,1
"101",5,25,0.994119882583618,0.00588011741638184,0.0058455416355514,1,1,1,1,1,1,1,1,1,1
"102",5,25,0.994119882583618,0.00588011741638184,0.0058455416355514,1,1,1,1,1,1,1,1,1,1
"103",5,25,0.92474901676178,0.0752509832382202,0.0695882727599013,1,1,1,1,1,0,0,1,1,0
"104",5,25,0.975418746471405,0.024581253528595,0.0239770155035579,1,1,1,1,1,1,1,1,1,1
