,Accession Number,Name,CAS
0,T3D0001,Arsenic,7440-38-2
1,T3D0002,Lead,7439-92-1
2,T3D0003,Mercury,7439-97-6
3,T3D0004,Vinyl chloride,75-01-4
4,T3D0006,Benzene,71-43-2
5,T3D0007,Cadmium,7440-43-9
6,T3D0009,Benzo[a]pyrene,50-32-8
7,T3D0010,Benzo[b]fluoranthene,205-99-2
8,T3D0011,Chloroform,67-66-3
9,T3D0012,Clofenotane,50-29-3
10,T3D0013,Aroclor 1254,11097-69-1
11,T3D0014,Aroclor 1260,11096-82-5
12,T3D0015,"Dibenzo[a,h]anthracene",53-70-3
13,T3D0016,Trichloroethylene,1979-01-06
14,T3D0017,Dieldrin,60-57-1
15,T3D0018,Hexavalent chromium ,18540-29-9
16,T3D0019,White Phosphorus,12185-10-3
17,T3D0020,Chlordane,57-74-9
18,T3D0021,"P,P'-DDE ",72-55-9
19,T3D0022,Hexachlorobutadiene,87-68-3
20,T3D0024,Aldrin,309-00-2
21,T3D0025,"P,P'-DDD",72-54-8
22,T3D0026,Benzidine,92-87-5
23,T3D0027,Aroclor 1248,12672-29-6
24,T3D0028,Cyanide,1957-12-05
25,T3D0031,Toxaphene,8001-35-2
26,T3D0032,gamma-Hexachlorocyclohexane ,58-89-9
27,T3D0033,Tetrachloroethylene,127-18-4
28,T3D0034,Heptachlor,76-44-8
29,T3D0035,"1,2-Dibromoethane",106-93-4
30,T3D0036,beta-Hexachlorocyclohexane,319-85-7
31,T3D0037,Acrolein,107-02-8
32,T3D0038,Disulfoton,298-04-4
33,T3D0039,Benzo[a]anthracene,56-55-3
34,T3D0040,"3,3'-Dichlorobenzidine",91-94-1
35,T3D0041,Endrin,72-20-8
36,T3D0042,Beryllium,7440-41-7
37,T3D0043,delta-Hexachlorocyclohexane,319-86-8
38,T3D0044,"1,2-Dibromo-3-chloropropane",96-12-8
39,T3D0045,Pentachlorophenol,87-86-5
40,T3D0046,Heptachlor epoxide,1024-57-3
41,T3D0047,Carbon tetrachloride,56-23-5
42,T3D0048,Aroclor 1221,11104-28-2
43,T3D0049,Cobalt,7440-48-4
44,T3D0050,"O,P'-DDT",789-02-6
45,T3D0051,Aroclor 1016,12674-11-2
46,T3D0052,Dibutyl phthalate,84-74-2
47,T3D0053,Nickel,7440-02-0
48,T3D0055,Endosulfan sulfate,1031-07-8
49,T3D0056,Diazinon,333-41-5
50,T3D0058,m-Xylene,108-38-3
51,T3D0059,cis-Chlordane,5103-71-9
52,T3D0061,Methoxychlor,72-43-5
53,T3D0062,Benzo[k]fluoranthene,207-08-9
54,T3D0063,Endrin ketone,53494-70-5
55,T3D0064,trans-Chlordane,5103-74-2
56,T3D0065,Chromium(VI) oxide,1333-82-0
57,T3D0066,Methane,74-82-8
58,T3D0067,beta Endosulfan,33213-65-9
59,T3D0069,Endrin aldehyde,7421-93-4
60,T3D0070,Benzofluoranthene,56832-73-6
61,T3D0071,Toluene,108-88-3
62,T3D0072,2-Oxohexane,591-78-6
63,T3D0073,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6
64,T3D0074,Zinc,7440-66-6
65,T3D0075,Dimethylarsinate,15132-04-4
66,T3D0076,Di(2-ethylhexyl)phthalate,117-81-7
67,T3D0077,Chromium,7440-47-3
68,T3D0078,Naphthalene,91-20-3
69,T3D0079,"1,1-Dichloroethene",75-35-4
70,T3D0080,Dichloromethane,1975-09-02
71,T3D0082,"2,4,6-Trinitrotoluene",118-96-7
72,T3D0084,Hydrazine,302-01-2
73,T3D0085,"1,2-Dichloroethane",107-06-2
74,T3D0086,"2,4,6-Trichlorophenol",88-06-2
75,T3D0087,"2,4-Dinitrophenol",51-28-5
76,T3D0088,Bis(2-chloroethyl) ether,111-44-4
77,T3D0089,Thiocyanate,302-04-5
78,T3D0091,Chloride ion,22537-115-1
79,T3D0092,Cyclotrimethylenetrinitramine,121-82-4
80,T3D0093,Hexachlorobenzene,118-74-1
81,T3D0094,"2,4-Dinitrotoluene",121-14-2
82,T3D0096,Ethion,563-12-2
83,T3D0097,"1,1,1-Trichloroethane",71-55-6
84,T3D0099,Ethylbenzene,100-41-4
85,T3D0100,Radium-226,13982-63-3
86,T3D0101,Thorium,7440-29-1
87,T3D0102,"4,6-Dinitro-o-cresol",534-52-1
88,T3D0103,"1,3,5-Trinitrobenzene",99-35-4
89,T3D0104,Chlorobenzene,108-90-7
90,T3D0105,Radon,10043-92-2
91,T3D0106,Radium-228,15262-20-1
92,T3D0107,Thorium-230,14269-63-7
93,T3D0108,Uranium-235,15117-96-1
94,T3D0109,Barium,7440-39-3
95,T3D0110,Fluoranthene,206-44-0
96,T3D0111,Uranium-234,13966-29-5
97,T3D0112,n-Nitrosodi-n-propylamine,621-64-7
98,T3D0113,Thorium-228,14274-82-9
99,T3D0114,Radon-222,14859-67-7
100,T3D0115,alpha-Hexachlorocyclohexane,319-84-6
101,T3D0116,"1,2,3-Trichlorobenzene",87-61-6
102,T3D0117,Manganese,7439-96-5
103,T3D0119,Chrysotile asbestos,12001-29-5
104,T3D0120,Strontium-90,10098-97-2
105,T3D0121,Plutonium-239,15117-48-3
106,T3D0122,Polonium-210,13981-52-7
107,T3D0123,Methylmercury,22967-92-6
108,T3D0124,Plutonium-238,13981-16-3
109,T3D0125,Lead-210,14255-04-0
110,T3D0126,Plutonium,7440-07-5
111,T3D0127,Chlorpyrifos,2921-88-2
112,T3D0128,Copper,7440-50-8
113,T3D0129,Americium-241,86954-36-1
114,T3D0130,Radon-220,22481-48-7
115,T3D0131,Amosite asbestos,12172-73-5
116,T3D0132,Iodine-131,10043-66-0
117,T3D0133,Hydrogen cyanide,74-90-8
118,T3D0134,Tributyltin,688-73-3
119,T3D0135,Guthion,86-50-0
120,T3D0136,Neptunium-237,13994-20-2
121,T3D0137,Chrysene,218-01-9
122,T3D0138,Chlordecone,143-50-0
123,T3D0139,Iodine-129,15046-84-1
124,T3D0140,Plutonium-240,14119-33-6
125,T3D0141,"S,S,S-Tributyl phosphorotrithioate",78-48-8
126,T3D0142,Bromine,7726-95-6
127,T3D0144,Dicofol,115-32-2
128,T3D0145,Parathion,56-38-2
129,T3D0146,"1,1,2,2-Tetrachloroethane",79-34-5
130,T3D0147,Selenium,7782-49-2
131,T3D0148,"Hexachlorocyclohexane, technical Grade",608-73-1
132,T3D0151,"O,P'-DDD",53-19-0
133,T3D0152,"4,4'-Methylenebis(2-chloroaniline)",101-14-4
134,T3D0156,"1,3-Butadiene",106-99-0
135,T3D0157,Ammonia,7664-41-7
136,T3D0158,2-Methylnaphthalene,91-57-6
137,T3D0159,"1,4-Dichlorobenzene",106-46-7
138,T3D0160,"1,1-Dichloroethane",75-34-3
139,T3D0161,Acenaphthene,83-32-9
140,T3D0162,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",39001-02-0
141,T3D0163,"1,1,2-Trichloroethane",79-00-5
142,T3D0165,Hexachlorocyclopentadiene,77-47-4
143,T3D0166,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",38998-75-3
144,T3D0167,"1,2-Diphenylhydrazine",122-66-7
