stimulus,odor,conc,CID,name
0_0,0,0,,control (blank)
0_1,0,1,,control (blank)
0_2,0,2,,control (blank)
1_0,1,0,11583.0,2-hexanone
1_1,1,1,11583.0,2-hexanone
1_2,1,2,11583.0,2-hexanone
2_0,2,0,454.0,octanal
2_1,2,1,454.0,octanal
2_2,2,2,454.0,octanal
3_0,3,0,31276.0,isoamyl acetate
3_1,3,1,31276.0,isoamyl acetate
3_2,3,2,31276.0,isoamyl acetate
4_0,4,0,7762.0,ethyl butyrate
4_1,4,1,7762.0,ethyl butyrate
4_2,4,2,7762.0,ethyl butyrate
5_0,5,0,8063.0,valeraldehyde
5_1,5,1,8063.0,valeraldehyde
5_2,5,2,8063.0,valeraldehyde
6_0,6,0,5281163.0,ethyl tiglate
6_1,6,1,5281163.0,ethyl tiglate
6_2,6,2,5281163.0,ethyl tiglate
7_0,7,0,7410.0,acetophenone
7_1,7,1,7410.0,acetophenone
7_2,7,2,7410.0,acetophenone
8_0,8,0,7461.0,gamma terpinene
8_1,8,1,7461.0,gamma terpinene
8_2,8,2,7461.0,gamma terpinene
9_0,9,0,8857.0,ethyl acetate
9_1,9,1,8857.0,ethyl acetate
9_2,9,2,8857.0,ethyl acetate
10_0,10,0,5323652.0,methyl tiglate
10_1,10,1,5323652.0,methyl tiglate
10_2,10,2,5323652.0,methyl tiglate
