Mixture number,Mixture Cids
1,[326 26331 6544 1140]
2,[7710 62433 7519 7685 3314]
3,[31276 62433 7519 8129 12178 18827 10722]
4,[62433 8797 2758 3314 8635 61138 6054 6544 10722]
5,[7410 240 93009 8635]
6,[7519 8148 31252 8103 5281168 6544]
7,[240 307 7731 2758 12178 62336 8635]
8,[31276 8148 7762 18827 7714]
9,[7710 93009 8130 8103 5281168 7059 8918 7714]
10,[11002 307 7685 12178 4133 7991 6054 7770 7714]
11,[240 2758 8130 8129 5281168 7059 4133 8918 957 6654]
12,[7410 326 2758 62444 7770 1140]
13,[7410 7519 11002 8797 8129 5281168 6654 8030]
14,[8797 7731 7966 3314 62336 7059 7991 61138 6054 6544]
