Stimulus,CID,In-lab Abbreviation
240,240,BBZ
261,261,BTH
264,264,BA
454,454,OCH
460,460,GAAC
527,527,PPH
1344,1344,AMPD
6184,6184,HXH
6363,6363,IMA
6569,6569,BTN
6584,6584,MAE
7284,7284,MBH
7410,7410,ACEO
7460,7460,APLD
7500,7500,EB
7674,7674,PNE
7731,7731,MNR
7758,7758,SBAE
7762,7762,EBE
7770,7770,PBE
7824,7824,MCE
7894,7894,IAM
7895,7895,PTO
7947,7947,ML
7965,7965,CAM
7983,7983,BBE
7991,7991,VA
8007,8007,BM
8051,8051,HPO
8060,8060,AM
8063,8063,VAH
8093,8093,OCO
8094,8094,HPA
8102,8102,HXAM
8130,8130,HPH
8164,8164,OAE
8314,8314,MBA
8471,8471,TEM
8857,8857,EAB
10106,10106,CNO
10885,10885,IBBE
11124,11124,MPE
11552,11552,IVCH
11583,11583,HXO
12180,12180,MBE
12206,12206,MVE
12246,12246,AMPT
12348,12348,AA
12355,12355,BER
13187,13187,NNO
16324,16324,ABE
31247,31247,VBE
31272,31272,BAE
31276,31276,IAA
61184,61184,IPBE
62240,62240,CNFE
62725,62725,IBTZ
80865,80865,FCTE
1549018,1549018,CJAO
5281163,5281163,ETE
5321950,5321950,TMBH
5367745,5367745,IPTE
