Stimulus,MolecularWeight,IsomericSMILES,IUPACName,name
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
273,102.18,C(CCN)CCN,"pentane-1,5-diamine","pentane-1,5-diamine"
379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
454,128.21,CCCCCCCC=O,octanal,octanal
798,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
962,18.015,O,oxidane,water
1001,121.18,C1=CC=C(C=C1)CCN,2-phenylethanamine,phenethylamine
1032,74.08,CCC(=O)O,propanoic acid,propionic acid
1045,88.15,C(CCN)CN,"butane-1,4-diamine",putrescine
1102,145.25,C(CCNCCCN)CN,"N'-(3-aminopropyl)butane-1,4-diamine",spermidine
1103,202.34,C(CCNCCCN)CNCCCN,"N,N'-bis(3-aminopropyl)butane-1,4-diamine",spermine
1146,59.11,CN(C)C,"N,N-dimethylmethanamine",trimethylamine
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
1639,84.08,C1=NNC(=N1)N,"1H-1,2,4-triazol-5-amine",amitrole
2537,152.23,CC1(C2CCC1(C(=O)C2)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",camphor
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
6115,93.13,C1=CC=C(C=C1)N,aniline,aniline
6549,154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool
6654,136.23,CC1=CCC2CC1C2(C)C,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",alpha-pinene
6736,131.17,CC1=CNC2=CC=CC=C12,3-methyl-1H-indole,3-methylindole
7047,129.16,C1=CC=C2C(=C1)C=CC=N2,quinoline,quinoline
7242,107.15,CC1=CC=CC=C1N,2-methylaniline,o-toluidine
7283,87.16,CCC(C)CN,2-methylbutan-1-amine,2-methylbutylamine
7415,127.23,CN(C)C1CCCCC1,"N,N-dimethylcyclohexanamine","n,n-dimethylcyclohexylamine"
7762,116.16,CCCC(=O)OCC,ethyl butanoate,ethyl butyrate
7794,154.25,CC(CCC=C(C)C)CC=O,"3,7-dimethyloct-6-enal",citronellal
7894,87.16,CC(C)CCN,3-methylbutan-1-amine,isoamylamine
8051,114.19,CCCCCC(=O)C,heptan-2-one,2-heptanone
8102,101.19,CCCCCCN,hexan-1-amine,hexylamine
8103,102.17,CCCCCCO,hexan-1-ol,1-hexanol
8106,118.24,CCCCCCS,hexane-1-thiol,1-hexanethiol
8127,115.22,CCCCCCCN,heptan-1-amine,heptylamine
8129,116.20,CCCCCCCO,heptan-1-ol,1-heptanol
8130,114.19,CCCCCCC=O,heptanal,heptanal
8143,129.24,CCCCCCCCN,octan-1-amine,octylamine
8144,146.30,CCCCCCCCS,octane-1-thiol,1-octanethiol
8314,102.13,CCC(C)C(=O)O,2-methylbutanoic acid,2-methylbutanoic acid
10947,238.41,CC1CCCCCCCCCCCCC(=O)C1,3-methylcyclopentadecan-1-one,muscone
11723,73.14,CCN(C)C,"N,N-dimethylethanamine","n,n-dimethylethylamine"
12291,99.17,CN1CCCCC1,1-methylpiperidine,1-methylpiperidine
12348,130.18,CCCCCOC(=O)C,pentyl acetate,amyl acetate
13563,101.19,CCCCN(C)C,"N,N-dimethylbutan-1-amine","n,n-dimethylbutylamine"
16224,157.30,CCCCCCCCN(C)C,"N,N-dimethyloctan-1-amine","n,n-dimethyloctylamine"
16724,150.22,CC1=CC[C@@H](CC1=O)C(=C)C,(5S)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,d-carvone
26334,136.19,CCC1=NC=C(N=C1C)C,"2-ethyl-3,5-dimethylpyrazine","2-ethyl-3,5-dimethylpyrazine"
26447,154.25,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,"(2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-one",(-)-menthone
27866,154.25,CC1CCOC(C1)C=C(C)C,4-methyl-2-(2-methylprop-1-enyl)oxane,16409-43-1
31252,108.14,CC1=CN=C(C=N1)C,"2,5-dimethylpyrazine","2,5-dimethylpyrazine"
31268,71.12,C1CCNC1,pyrrolidine,pyrrolidine
33944,128.22,C1CCN(CC1)CCN,2-piperidin-1-ylethanamine,27578-60-5
62725,141.24,CC(C)CC1=NC=CS1,"2-(2-methylpropyl)-1,3-thiazole",2-isobutylthiazole
70103,83.13,CC1=NCCC1,"5-methyl-3,4-dihydro-2H-pyrrole",2-methyl-1-pyrroline
