Stimulus,CIDs,Conditions
wheatbran,-24,
tomato,-23,
strawberry,-22,
spearmint,-21,
shitakemushroom,-20,
pineneedles,-19,
pineapple,-18,
peanutbutter,-17,
navelorange,-16,
mungbeansprout,-15,
mackeralpike,-14,
groundbeef,-13,
grass,-12,
grannysmithapple,-11,
goldendeliciousapple,-10,0.13744566
garlic,-9,
galaapple,-8,
fujiapple,-7,
fujiapple,-7,
eucalyptus,-6,
cinnamonbark,-5,
celery,-4,
cedarwood,-3,
carrot,-2,
banana,-1,
banana,-1,
banana,-1,
2-ketobutyric acid,58,
4-hydroxybenzaldehyde,126,
acetic acid,176,
acetoin,179,200ppm
acetone-simp,180,
acetone,180,2500 ppm
acetone,180,2500ppm
benzaldehyde,240,125ppm
benzaldehyde,240,
benzaldehyde,240,
benzyl alcohol,244,
butanal,261,25ppm
1-butanol,263,
1-butanol,263,
butyric acid,264,1/20 in mineral oil
butyric acid,264,
formic acid,284,
octane,356,1000ppm
octane,356,2231 ppm
octane,356,2231 ppm
octanoic acid,379,
octanal,454,
guaiacol,460,
propanal,527,25ppm
dibenzofuran,568,
"2,3-butanedione",650,2500ppm
ethanol,702,2500ppm
methanol,887,2500ppm
methanol,887,2500ppm
methanol,887,10000ppm
methanol,887,2500ppm
methanol,887,15000ppm
methanol,887,5000ppm
naphthalene,931,
1-octanol,957,13.6 ppm
1-octanol,957,
1-propanol,1031,2500 ppm
1-propanol,1031,
propionic acid,1032,
Toluene,1140,125ppm
vanillin,1183,
eucalyptol,2758,1/20 in mineral oil
eucalyptol,2758, 1/8
eucalyptol,2758, 1/8
eugenol,3314,
isopropanol,3776,
lauric acid,3893,1/20 in mineral oil
methyl salicylate,4133,2.8 ppm
methyl salicylate,4133,0.3 ppm
methyl salicylate,4133,1/20 in mineral oil
methyl salicylate,4133,2.8 ppm
methyl salicylate,4133,0.03ppm
methyl salicylate,4133,0.9 ppm
methyl salicylate,4133,0.09ppm
undecylenic acid,5634,1/20 in mineral oil
hexanal,6184,
1-pentanol,6276,30 ppm
1-pentanol,6276,2.5ppm
1-pentanol,6276,25 ppm
1-pentanol,6276,250
1-pentanol,6276,79
n-pentanol,6276,20ppm
tert-butanol,6386,
pinacolone,6416,
trimethylacetic acid,6417,
pinacol,6425,
ethyl 3-methyl-3-phenylglycidate,6501,
linalool,6549,
isobutanol,6560,
2-butanol,6568,200ppm
sec-butanol,6568,
2-butanone,6569,2500ppm
2-butanone,6569,200ppm
methyl acetate,6584,
isobutyric acid,6590,
ketone moschus,6669,1/20 in mineral oil
thymol,6989,
quinoline,7047,1g/160 in mineral oil
creosol,7144,
methyl benzoate,7150,1/20 in mineral oil
methyl benzoate,7150,
methyl benzoate,7150,1/20 in mineral oil
methyl nicotinate,7151,
phenyl benzoate,7169,
o-xylene,7237,125ppm
"1,2,4-trimethylbenzene",7247,125ppm
diethyl oxalate,7268,
ethyl chrysanthemumate,7334,
tert-butylbenzene,7366, 1/8
tert-butylbenzene,7366, 1/4
isopropylbenzene,7406,
acetophenone,7410,
alpha-phellandrene,7460,1/24 in mineral oil
alpha-phellandrene,7460,1/4 in mineral oil
ethylbenzene,7500,125ppm
ethylbenzene,7500, 1/4
ethylbenzene,7500, 1/8
cyclohexylmethanol,7507,
methyl phenylacetate,7559,
2-benzylpyridine,7581,
diphenyl ether,7583,
propylbenzene,7668,
butylbenzene,7705,
p-tolualdehyde,7725,125ppm
ethyl propionate,7749,12 ppm
ethyl propionate,7749,75 ppm
ethyl propionate,7749,1/20 in mineral oil
diethyl malonate,7761,
ethyl butyrate,7762,75 ppm
ethyl butyrate,7762,1/20 in mineral oil
ethyl butyrate,7762,
diethylacetal,7765,
propyl butyrate,7770,
geranyl acetate,7780,
"3,7-dimethyloctan-1-ol",7792,
isoamyl butyrate,7795,
ethyl heptanoate,7797,75 ppm
ethyl heptanoate,7797,75 ppm
ethyl caprylate,7799,
3-heptanone,7802,
propyl propionate,7803,
p-xylene,7809,125ppm
methyl caproate,7824,
methyl heptanoate,7826,
2-pentanone,7895,
m-xylene,7929,125ppm
"2,6-dimethylpyrazine",7938,
dimethyl malonate,7943,
mesitylene,7947,
mesitylene,7947,125ppm
cyclohexanone,7967,
valeric acid,7991,6.25
valeric acid,7991,12.5
valeric acid,7991,
valeric acid,7991,25
valeric acid,7991,1/20 in mineral oil
valeric acid,7991,1/20 in mineral oil
valeric acid,7991,
