smiles,regression_Intensity,regression_Pleasantness,regression_Bakery,regression_Sweet,regression_Fruit,regression_Fish,regression_Garlic,regression_Spices,regression_Cold,regression_Sour,regression_Burnt,regression_Acid,regression_Warm,regression_Musky,regression_Sweaty,regression_Ammonia,regression_Decayed,regression_Wood,regression_Grass,regression_Flower,regression_Chemical
O=Cc1ccc(O)cc1,24.6530612244898,48.95652173913044,0.6304347826086957,24.347826086956523,6.2391304347826075,0.2826086956521739,1.608695652173913,3.652173913043478,4.0,7.5,1.5869565217391304,2.847826086956522,0.9130434782608696,8.304347826086957,1.5,1.8043478260869563,4.978260869565218,1.2608695652173914,1.3478260869565215,9.26086956521739,14.23913043478261
CC=O,33.265306122448976,45.31578947368421,8.421052631578947,20.07894736842105,1.7631578947368418,0.0,0.631578947368421,2.5,7.0,10.447368421052632,0.9210526315789472,4.447368421052632,4.526315789473684,3.421052631578948,1.947368421052632,3.7894736842105265,3.263157894736842,1.0263157894736843,4.0,2.1842105263157894,18.789473684210527
CC(C)=O,16.714285714285715,55.4375,3.375,15.53125,6.46875,2.28125,2.59375,4.375,7.625,9.03125,2.90625,3.21875,10.03125,7.53125,0.03125,5.28125,6.21875,8.625,6.59375,12.625,10.5
O=C(O)CCCCC(=O)O,6.8775510204081645,53.21875,1.75,18.3125,1.3125,0.0,1.90625,6.15625,5.5625,6.21875,3.6875,3.21875,9.4375,6.78125,6.09375,2.78125,6.90625,1.1875,2.21875,9.625,7.75
NCCC(=O)O,21.163265306122447,51.351351351351354,0.6756756756756757,8.567567567567568,2.3513513513513518,1.0,2.3513513513513518,2.72972972972973,7.1891891891891895,7.297297297297297,3.4864864864864864,3.891891891891892,3.918918918918919,5.243243243243243,0.5405405405405406,0.1891891891891892,3.3243243243243237,4.891891891891891,6.864864864864866,5.783783783783784,10.486486486486486
O=Cc1ccccc1,77.48979591836735,61.877551020408156,17.408163265306122,43.265306122448976,28.489795918367342,0.4081632653061225,0.020408163265306117,6.367346938775509,5.551020408163265,2.8571428571428568,0.4489795918367347,2.3061224489795915,6.6734693877551035,3.326530612244898,0.08163265306122447,3.0816326530612246,0.22448979591836732,0.22448979591836732,1.7551020408163265,13.551020408163266,19.59183673469388
c1ccccc1,5.6734693877551035,50.52173913043478,2.4347826086956523,7.173913043478262,0.39130434782608703,0.0,1.4782608695652173,3.391304347826087,1.173913043478261,4.043478260869565,6.0,1.7826086956521738,4.565217391304348,10.434782608695652,5.434782608695652,3.4347826086956523,0.4782608695652174,0.0,0.6521739130434783,6.434782608695652,20.391304347826086
OCc1ccccc1,40.08163265306123,46.58333333333334,1.0625,22.375,13.666666666666664,2.333333333333333,2.1041666666666665,6.604166666666668,7.854166666666668,3.3125,2.6875,10.645833333333334,4.625,6.520833333333332,0.8958333333333334,6.25,4.854166666666667,1.4791666666666667,0.02083333333333333,7.125,32.75
CCCC=O,81.71428571428571,18.27083333333333,0.9583333333333334,0.9791666666666666,0.14583333333333334,3.7708333333333335,5.270833333333333,6.0625,1.1666666666666667,23.8125,8.270833333333334,10.958333333333336,4.708333333333333,21.354166666666668,10.958333333333336,13.25,15.1875,1.3541666666666667,1.7083333333333333,0.9583333333333334,20.39583333333333
CC(O)C(C)O,36.81632653061224,51.147058823529406,14.176470588235292,19.61764705882353,5.235294117647058,3.5294117647058822,3.6176470588235294,1.2647058823529411,2.147058823529412,13.264705882352944,1.2647058823529411,2.323529411764706,10.352941176470589,10.441176470588236,8.176470588235292,1.3823529411764706,8.205882352941176,0.029411764705882356,0.029411764705882356,3.4705882352941178,3.4705882352941178
