"compound.name","SMILES","chemical.cluster","amount.in.jar","number.trials","number.correct.trials","p.value","mean.confidence.in.choice","initial.odor.class","QC.reclassified","reclassified.reason","final.odor.class"
"(-)-carvone","CC1=CC[C@H](CC1=O)C(=C)C",25,"1mL",75,75,1.52516739715073e-36,0.932266666666667,"Odor","no",NA,"Odor"
"(-)-carvyl acetate","CC(=O)OC1CC(CC=C1C)C(=C)C",5,"1mL",80,80,6.24508969792133e-39,0.97925,"Odor","no",NA,"Odor"
"(-)-carvyl propionate","CCC(=O)OC1CC(CC=C1C)C(=C)C",5,"1mL",70,66,5.66472162123978e-27,0.897428571428571,"Odor","no",NA,"Odor"
"(-)-caryophyllene oxide","CC1CC(C)(C)c2c(C1(C)C)cc(c(c2)C(=O)C)C",24,"0.25g",60,52,1.59126653417998e-17,0.637833333333333,"Odor","no",NA,"Odor"
"(-)-terpinen-4-ol","CC1=CCC(CC1)(O)C(C)C",25,"1mL",65,65,9.09651788869127e-32,0.988923076923077,"Odor","no",NA,"Odor"
"(+)-terpinen-4-ol","CC1=CC[C@](CC1)(O)C(C)C",11,"500uL",70,69,5.25971781728424e-32,0.841285714285714,"Odor","no",NA,"Odor"
"(1r)-(-)-fenchone","O=C1C2(C)CCC(C1(C)C)C2",13,"1mL",60,60,2.22153935051535e-29,0.983333333333333,"Odor","no",NA,"Odor"
"(s)-(-)-perillyl alcohol","OCC1=CC[C@H](CC1)C(=C)C",11,"1mL",70,64,3.30486301702008e-24,0.637857142857143,"Odor","no",NA,"Odor"
"gamma-octalactone","CCCCC1CCC(=O)O1",2,"1mL",60,60,2.22153935051535e-29,0.891666666666667,"Odor","no",NA,"Odor"
"1-heptadecanol","CCCCCCCCCCCCCCCCCO",8,"0.5g",70,26,0.28611386358819,0.200571428571429,"Odorless","no",NA,"Odorless"
"1-hexadecanol","CCCCCCCCCCCCCCCCO",10,"1g",85,40,0.00583265574310088,0.225529411764706,"Odor","no",NA,"Odor"
"1-tricosanol","OCCCCCCCCCCCCCCCCCCCCCCC",7,"50mg",70,35,0.00282642970554645,0.221857142857143,"Odor","no",NA,"Odor"
"1,4-dioxane","C1COCCO1",15,"1mL",55,54,6.03116986626334e-25,0.648181818181818,"Odor","no",NA,"Odor"
"2-acetylthiophene","CC(=O)C1=CC=CS1",14,"1mL",70,70,3.72474328127861e-34,0.930285714285714,"Odor","no",NA,"Odor"
"2-sec-butylcyclohexanone","CCC(C)C1CCCCC1=O",25,"1mL",70,69,5.25971781728424e-32,0.900714285714286,"Odor","no",NA,"Odor"
"2,2'-(thiodimethylene)difuran","C1=COC(=C1)CSCC2=CC=CO2",19,"0.3g",70,70,3.72474328127861e-34,0.993,"Odor","no",NA,"Odor"
"2,5-dihydroxy-1,4-dithiane","C1C(SCC(S1)O)O",14,"1g",70,69,5.25971781728424e-32,0.952857142857143,"Odor","no",NA,"Odor"
"3-ethoxy-4-hydroxybenzaldehyde","CCOC1=C(C=CC(=C1)C=O)O",28,"1g",70,70,3.72474328127861e-34,0.957142857142857,"Odor","no",NA,"Odor"
"3-ethyl-2-hydroxy-2-cyclopenten-1-one","CCC1=C(O)C(=O)CC1",11,"1g",70,69,5.25971781728424e-32,0.973,"Odor","no",NA,"Odor"
"3-tert-butyl-4-hydroxyanisole","CC(C)(C)C1=C(C=CC(=C1)OC)O",12,"1mL",70,68,3.66151241097359e-30,0.920428571428571,"Odor","no",NA,"Odor"
"4-oxoisophorone","CC1=CC(=O)CC(C1=O)(C)C",13,"1mL",70,66,5.66472162123978e-27,0.863857142857143,"Odor","no",NA,"Odor"
"6-acetyl-1,1,2,4,4,7-hexamethyltetralin","C=C1CCC2OC2(CCC2C1CC2(C)C)C",24,"1g",65,60,2.52486663409628e-23,0.811846153846154,"Odor","no",NA,"Odor"
"6-methyl quinoline","CC1=CC2=C(C=C1)N=CC=C2",3,"1mL",70,70,3.72474328127861e-34,0.959857142857143,"Odor","no",NA,"Odor"
"7-hydroxycitronellal","CC(CCCC(C)(C)O)CC=O",26,"1mL",70,67,1.67511321518992e-28,0.719857142857143,"Odor","no",NA,"Odor"
"acetal","CCOC(C)OCC",27,"1mL",70,70,3.72474328127861e-34,0.978571428571429,"Odor","no",NA,"Odor"
"acetophenone","CC(=O)C1=CC=CC=C1",14,"1mL",70,70,3.72474328127861e-34,0.966428571428571,"Odor","no",NA,"Odor"
