Stimulus,Description
0,"The pure material is virtually odorless. The commercial material has a faint, pleasant-resinous odor."
1,"Very faint, woody and slightly piney odor."
2,"Pungent ethereal-nauseating odor, in high dilution reminiscent of Coffee or Wine."
3,"Mild, sweet, slightly green-fruity odor."
4,"Mild, oily-green, somewhat vegetable odor."
5,"Agreeable, refreshing, fruity-green odor."
6,"Powerful, oily-green odor with a sweet, vegetable-like undertone."
7,"Mild, somewhat sweet-floral odor."
8,"Strong, ethereal-winey odor."
9,"Powerful green, herbaceous-vegetable, oily odor, reminiscent of many natural products."
10,"Pleasant, but weak floral odor, suggestive of Rose and Jasmin, with undertones of greenearthy, herbaceous character."
11,"Powerful, ethereal, green-herbal and leafy odor and very natural character."
12,"Sweet, but somewhat harsh, haylike odor with floral-animal notes. Suggestive of Hawthorne, Mimosa, Heliotrope, etc"
13,"Mild and sweet-spicy, balsamic-fruity odor, reminiscent of carnation. Earthy-fresh notes, or leafy-floral notes not uncommon"
14,"Fruity-balsamic, warm and faintly spicy odor, somewhat clove-like, but with rosy floral notes and vanilla-like sweetness"
15,"Pungent, stinging sour odor, unpleasant when concentrated, less repulsive when diluted below} 15$0 in water."
16,"Powerful, dry-herbaceous, woody-orrisy odor, remotely reminiscent of cuminic derivatives."
17,"Light ethereal-nauseating and powerful odor of very poor tenacity. Irritant at high concentration, rather pleasant in dilution"
18,Ethereal-camphorlike odor.
19,Ethereal odor
20,"Agreeable odor, mild and reminiscent of Bitter Almond oil, but less pronounced than But yronitrile."
21,"Pleasant, sweet-ethereal odor."
22,"warm-spicy odor, reminiscent of breadcrust, burnt caramel, etc. with a fruity-floral, sweet note in extreme dilution."
23,"Pungent-sweet odor, in dilution resembling that of hawthorn or is harsh orange-blossom type. The effect in perfumes is generally a flowery one, coumarin-like, warm, slightly animal, powerful."
24,"Warm, green-spicy, somewhat floral odor, varying according to the chemical purity of the product."
25,"Heavy, sweet-floral, somewhat animal odor. The odor picture varies according to the quality of the reaction product."
26,its general toxicity would decrease or possibly prevent its use in perfumes and flavors.
27,"Very faint, sweet odor, remotely reminiscent of Vanillin, but less spicy, somewhat fresher."
28,"Ethereal-minty odor, somewhat metallic or “’chemical”. In high dilution, the flavor in aqueous medium is sweet, remotely reminiscent of Peppermint sweetness."
29,"Mild, sweet-musky odor with a faint, animal undertone and good tenacity."
30,"Powerful, creamy-sweet, heavy-buttery, oily odor, yet somewhat milder than Diacetyl"
31,"Heavy creamy-sweet, fruit y-buttev odor, often described as “quinone-like”. Less buttery, more fruity than the normal ketone"
32,"Powerful and sweet, oily-buttery odor with herbaceous-cheesy undenone, yet not rancid or unpleasant in dilution"
33,"Pungent, sweet-caramellic, somewhat choking- ethereal odor."
34,"Peculiar fruity-buttery, somewhat sour odor."
35,Peculiar camphoraceous-sweet odor with a certain amount of floral tones
36,"Camphoraceous, minty-herbaceous, also somewhat floral odor."
37,"Peculiar, warm-woody, somewhat herbaceous odor, reminiscent of Tobacco leaves (cured)."
38,"Powerful bakamic-sweet odor with a tobacco- like, almost narcotic pungency. Floral undertones are of balsamic-cinnamic character."
39,"Sweet-musky, somewhat animal and slightly sour-sweaty odor of great tenacity."
40,Sweet woody-musky odor of considerable tenacity.
41,"Peculiar, strong and persistent odor, simultaneously non-floral and heavy-sweet-floral. Not nearly as pungent as Acetophenone, but still rather chemical in its general character."
42,"Intensely creamy-fatty-buttery, penetrating odor, yet milder and less “quinone’’-like than Diacetyl, not as sharp or volatile. Pleasant in extreme dilution."
43,"When pure and dry, almost odorless."
44,"Oily-buttery odor, pungent and somewhat “quinone’’-like, less sharp and volatile than Diacetyl."
45,"Powerful, almost choking, Cigar-tobaccotype odor, which becomes pleasant only at extreme dilution, then also more typical tobacco-like."
46,"Powerful, diffusive, buttery and slightly animal, quinone-like odor, pungent and cheesy, but sweet in its oily character."
47,"Powerful oily-buttery, somewhat fruity odor"
48,"Mild and sweet, floral-Vanilla4ike odor of good tenacity. Fresher than the odor of Vanillin, but lacks the warmth of Vanilla and Vanillin."
49,The latter material has very little odor and is of no substantial use to the perfumer
50,Practically odorless
51,"Pungent, irritating odor (A. is a lachrymator), unbearable to human mucous membranes or eyes."
52,"Its odor resembles that of acetic acid, but it is more acrid, corrosive to human mucous membranes, irritating to the eyes."
53,Practically odorless. 
54,"Peculiar sweet-medicinal odor, reminiscent of Anise, Estragon, etc. with a herbaceousminty note, quite tenacious."
55,"Peculiar sweet-minty, slightly woody odor, faint but tenacious."
56,"Powerful, heavy-sweet, somewhat floral odor, resembling that of Heliotropine."
57,"Pungent, herbaceous-oily and heavy-sweet odor of considerable tenacity and displaying a gamut of “natural” odors."
58,"Diffusive, fresh-gassy, herbaceous odor. The gassy notes are more predominant in poorer grades of Allo-ocimene, almost im-perceptible in good grade mat]."
59,"Sweet, woody-caramellic, rather mild odor of Furan-type, the woody notes resembling the odor of sawdust."
60,"Musky odor of considerable tenacity, but low odor level"
61,"Very faint, but tenacious sweet-woody odor with some resemblance to Cedarwood. Trace of animal notes."
62,"Ethereal-winey odor, somewhat similar to that of Ethyl acetate, but more pungent, rumlike, fruity, arak-like."
63,"Sharp-fruity, very heavy balsamic-grapelike, sweet odor with a somewhat green topnote."
64,"Weak, but pleasant berry-like, fruity odor with some cherry caracter"
65,Sweet-ethereal odor with somewhat fruity undertone.
66,"Fruity odor, somewhat Peach-Apricot-like, also resembling Apple."
67,"Musky -herbaceous, heavy odor, reminiscent of Cumin, Angelica, Mintleaf."
68,"Banana-Pineapple type odor, somewhat fatty- sweet and powerful without being pungent."
69,"Slightly pungent, fatty-fruity odor reminis-cent of Pineapple, Rum, Arak, remotely of Peach. Less ethereal, but more natural Pine-apple-like than Methyl caproate"
70,"Powerful fruity, slightly fatty Banana-Pineapple like odor with a somewhat oily-winey undertone."
71,"Weak, but tenacious Peach-Apricot type odor, winey, balsamic and somewhat Styrax like"
72,"Onionlike, but pleasant and rather sweet, not pungent"
73,"Pronounced “mixed-fruit y“ odor, sweet, lasting and less ethereal than the lower aliphatic acetates."
74,"“Mixed-fruity” odor of somewhat fatty character, quite tenacious."
75,"Rather weak, fatty-fruity odor of considerable tenacity."
76,Powerful and sweet-fruity odor resembling Pineapple. Smoother and sweeter than Allyl caproate. Fruitiness similar to that of Linalylacetate.
77,"Heavy, sweet. mixed-fruity odor of great tenacity."
78,"Peculiar oily-fruity odor, nondescript fruit type."
79,Sweet and fruity odor without having characteristics of any specific type of fruit.
80,"Ethereal-fruity odor, slightly pungent and, in moist atmosphere, reminiscent of Mustard."
81,"Peculiar sweet-musty, fungal, Champignonlike odor."
82,"Caramellic-fruity odor, often classified as “’jam-like” or “cooked-preserve-like”, reminiscent of canned, syrypy fruit,"
83,"Very powerful, but quite natural and not very pungent green-leafy, violet-leafy odor, typical ‘foliage” odor, less gassy than the Methyl ester."
84,"Sweet-fruity, somewhat pungent, vinous Banana-like odor."
85,"Oily-sweet, slightly flowery, but also fruity, woody and bark-like green odor of considerable tenacity."
86,"Penetrating and extremely diffusive onion-like, but sweet and not really pungent odor."
87,"Fruity -winey, somewhat fatty-oily odor, resembling that of wine residue, cognac residue or the like. A trace of sharpness in the fruity notes resembles Pineapple."
88,"Fatty and slightly nutty, green-fruity, somewhat Pineapple-1ike odor."
89,"Weak, anisic, sweet odor, more pungent than Anethole, less sweet or mild."
90,"Somewhat sharp, mixed-fruity, mainly Pineapple- like and honey-sweet odor of great tenacity."
91,"Sweet honeylike, but faint odor with sweetfruity undertones and good tenacity. Less floral than the Phenoxy+ster."
92,"Somewhat sharp, sour-fruity odor, suggest - ive of Apple and Apricot"
93,"Powerful onionlike-garlic-like odor. Not pungent, more garlic-like than oniorrlike"
94,"Sweet-woody odor reminiscent of Ionones, Cedarwood and Vetiver, quite pleasant and fairly tenacious."
