smiles,regression_citrus,regression_lemon,regression_grapefruit,regression_orange,regression_fruity,regression_pineapple,regression_grape,regression_strawberry,regression_apple,regression_pear,regression_cantaloupe,regression_peach,regression_banana,regression_floral,regression_rose,regression_violets,regression_lavender,regression_cologne,regression_musk,regression_perfumery,regression_fragrant,regression_aromatic,regression_honey,regression_cherry,regression_almond,regression_acetone,regression_nutty,regression_spicy,regression_clove,regression_cinnamon,regression_laurel,regression_tea,regression_seasoning,regression_pepper,regression_peppers,regression_dill,regression_caraway,regression_cognac,regression_resinous,regression_cedarwood,regression_mothballs,regression_peppermint,regression_camphor,regression_eucalyptus,regression_chocolate,regression_vanilla,regression_sweet,regression_maple,regression_caramel,regression_malty,regression_raisins,regression_molasses,regression_coconut,regression_anise,regression_alcoholic,regression_gasoline,regression_turpentine,regression_geranium,regression_celery,regression_weeds,regression_grass,regression_herbal,regression_cucumber,regression_hay,regression_grainy,regression_yeasty,regression_bakery,regression_fermented,regression_beery,regression_soapy,regression_leather,regression_cardboard,regression_rope,regression_stale,regression_musty,regression_potatoes,regression_mouse,regression_mushroom,regression_peanuts,regression_beany,regression_eggy,regression_bark,regression_cork,regression_smoky,regression_incense,regression_coffee,regression_tar,regression_creosote,regression_carbolic,regression_medicinal,regression_chemical,regression_bitter,regression_pungent,regression_vinegar,regression_sauerkraut,regression_ammonia,regression_urine,regression_urine.1,regression_fishy,regression_kipper,regression_semen,regression_rubber,regression_sooty,regression_kerosene,regression_oily,regression_buttery,regression_paint,regression_varnish,regression_popcorn,regression_meaty,regression_soupy,regression_rancid,regression_sweaty,regression_cheesy,regression_methane,regression_sulfurous,regression_garlic,regression_metallic,regression_blood,regression_animal,regression_sewer,regression_putrid,regression_fecal,regression_cadaverous,regression_sickening,regression_powdery,regression_chalky,regression_light,regression_heavy,regression_cooling,regression_warm
O=Cc1ccccc1,0.0504,0.036000000000000004,0.0072,0.0144,0.223,0.0216,0.0072,0.0576,0.0,0.0144,0.0144,0.0432,0.036000000000000004,0.1439,0.0504,0.0288,0.0647,0.0719,0.0144,0.2662,0.6114999999999999,0.5971,0.0719,0.3453,0.705,0.0072,0.1223,0.2374,0.0288,0.1079,0.0,0.0072,0.0,0.0,0.0,0.0,0.0144,0.036000000000000004,0.1439,0.0504,0.0216,0.1079,0.0432,0.0432,0.0,0.17989999999999998,0.5971,0.0288,0.0432,0.0288,0.0144,0.0072,0.0576,0.0935,0.0504,0.0072,0.0216,0.0144,0.0,0.0,0.0144,0.1151,0.0,0.0,0.0,0.0072,0.0288,0.0144,0.0,0.036000000000000004,0.0144,0.0144,0.0,0.0072,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0144,0.0288,0.0144,0.0288,0.0647,0.0,0.0216,0.0144,0.036000000000000004,0.1151,0.0935,0.0288,0.0791,0.0432,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.0288,0.0072,0.0072,0.0,0.0072,0.0,0.0144,0.0216,0.0144,0.0,0.0,0.0,0.0072,0.0072,0.0,0.0,0.0072,0.0,0.0,0.0504,0.0504,0.0072,0.2086,0.2734,0.1367,0.2158
CCCC(=O)O,0.0,0.0071,0.0,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,0.0,0.0,0.0,0.0,0.05,0.0286,0.07139999999999999,0.1286,0.0,0.0071,0.0,0.0,0.0143,0.0214,0.0,0.0,0.0,0.0,0.0,0.0071,0.0143,0.0143,0.0,0.0,0.0357,0.0,0.0,0.0,0.0071,0.0,0.0,0.0,0.0429,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0071,0.0,0.0,0.0,0.0,0.0071,0.0,0.0071,0.0,0.0071,0.0,0.17859999999999998,0.0,0.0857,0.0143,0.0071,0.0071,0.0071,0.0214,0.1286,0.2286,0.0,0.0357,0.0143,0.0071,0.0,0.0,0.0143,0.0143,0.0214,0.0,0.0,0.0143,0.0,0.0071,0.0143,0.05,0.0643,0.3786,0.3786,0.0286,0.0214,0.1286,0.1143,0.07139999999999999,0.0214,0.0214,0.0,0.0071,0.0,0.2357,0.0786,0.0071,0.0,0.0071,0.0214,0.0,0.4929,0.4786,0.0,0.0214,0.1,0.0357,0.0286,0.07139999999999999,0.1714,0.1643,0.4786,0.35,0.13570000000000002,0.6570999999999999,0.0143,0.0,0.0286,0.3857,0.0,0.1143
O=c1ccc2ccccc2o1,0.0286,0.0357,0.0,0.0,0.1429,0.0357,0.0071,0.0286,0.0143,0.0071,0.0071,0.0286,0.0143,0.2071,0.0929,0.0571,0.0857,0.1214,0.0571,0.25,0.5643,0.4786,0.0929,0.1286,0.4286,0.0214,0.0786,0.1714,0.0429,0.1643,0.0214,0.0214,0.0143,0.0,0.0,0.0071,0.0071,0.0571,0.1857,0.0571,0.0357,0.1286,0.0643,0.0429,0.0071,0.2214,0.55,0.05,0.07139999999999999,0.07139999999999999,0.0,0.0214,0.15,0.07139999999999999,0.0143,0.0071,0.0786,0.0286,0.0071,0.0429,0.0571,0.1714,0.0,0.0857,0.0214,0.0071,0.0071,0.0214,0.0143,0.05,0.0571,0.0071,0.0,0.0,0.0786,0.0071,0.0,0.0,0.0071,0.0,0.0,0.0357,0.0071,0.0429,0.0643,0.0,0.0143,0.0357,0.07139999999999999,0.0929,0.1429,0.0143,0.1,0.0214,0.0,0.0143,0.0,0.0,0.0143,0.0,0.0,0.0071,0.0143,0.0143,0.1071,0.0357,0.07139999999999999,0.05,0.0071,0.0071,0.0143,0.0214,0.0429,0.0071,0.0071,0.0214,0.0,0.0286,0.0071,0.0143,0.0143,0.0357,0.0,0.0,0.07139999999999999,0.0786,0.0143,0.2429,0.13570000000000002,0.1214,0.2071
CC(C)c1ccc(C=O)cc1,0.1071,0.1643,0.0214,0.05,0.07139999999999999,0.0143,0.0,0.0214,0.0,0.0214,0.0143,0.0214,0.0143,0.0857,0.0214,0.0071,0.0357,0.05,0.07139999999999999,0.1071,0.3286,0.3714,0.0214,0.0357,0.1714,0.0071,0.0357,0.2357,0.07139999999999999,0.07139999999999999,0.0214,0.05,0.0571,0.0786,0.0143,0.0857,0.1,0.0429,0.27140000000000003,0.0857,0.0214,0.1429,0.0786,0.0643,0.0,0.0,0.2429,0.0143,0.0143,0.0071,0.0071,0.0,0.0071,0.0571,0.0643,0.1,0.1429,0.0214,0.0143,0.0643,0.05,0.2214,0.0143,0.0071,0.0143,0.0143,0.0,0.0214,0.0,0.1214,0.0357,0.0071,0.0,0.0786,0.1643,0.0143,0.0214,0.0214,0.0,0.0143,0.0,0.0286,0.0429,0.0786,0.0643,0.0,0.0571,0.0357,0.0929,0.1286,0.1857,0.1071,0.35710000000000003,0.17859999999999998,0.0143,0.0286,0.0214,0.0,0.0429,0.0214,0.0,0.0214,0.0,0.0429,0.2,0.0,0.1,0.0571,0.0071,0.0214,0.0,0.1,0.1143,0.1,0.0143,0.0286,0.0071,0.0643,0.0,0.0071,0.0071,0.0643,0.0,0.0071,0.2,0.1214,0.0214,0.1643,0.2429,0.1429,0.17859999999999998
Cc1cccc(O)c1,0.0,0.0,0.0,0.0,0.0216,0.0072,0.0,0.0,0.0,0.0072,0.0072,0.0,0.0072,0.0432,0.0072,0.0,0.0072,0.0072,0.0791,0.0432,0.1367,0.3094,0.0072,0.0,0.0216,0.0144,0.0576,0.0432,0.0144,0.0,0.0,0.0072,0.0144,0.0144,0.0,0.0072,0.0,0.0504,0.3094,0.0504,0.0719,0.0072,0.1079,0.0504,0.0072,0.0072,0.1367,0.0072,0.0216,0.036000000000000004,0.0,0.0072,0.0144,0.0072,0.0504,0.0647,0.0647,0.0,0.0,0.0144,0.0,0.0647,0.0,0.0288,0.0144,0.0504,0.0072,0.0072,0.0,0.0863,0.15109999999999998,0.0216,0.0072,0.0647,0.1942,0.0144,0.0,0.0,0.0144,0.0,0.0,0.0719,0.0719,0.3453,0.0432,0.0072,0.1655,0.2518,0.3957,0.4604,0.3022,0.0647,0.223,0.0144,0.0,0.0144,0.0216,0.0072,0.0144,0.0576,0.0072,0.1079,0.0576,0.0504,0.1007,0.0144,0.0935,0.036000000000000004,0.0072,0.0504,0.0,0.0791,0.1439,0.0,0.0144,0.0504,0.0072,0.0504,0.036000000000000004,0.0504,0.0144,0.0288,0.0432,0.0216,0.1439,0.1295,0.0,0.1223,0.2446,0.0719,0.1439
COc1ccccc1O,0.0,0.0,0.0,0.0,0.0068000000000000005,0.0068000000000000005,0.0,0.013500000000000002,0.0068000000000000005,0.0,0.0,0.0,0.0,0.0203,0.0,0.0,0.0,0.0068000000000000005,0.0405,0.0405,0.1824,0.2905,0.0068000000000000005,0.0068000000000000005,0.0676,0.013500000000000002,0.0473,0.0946,0.0541,0.0338,0.0203,0.0068000000000000005,0.027000000000000003,0.0068000000000000005,0.0,0.0,0.0,0.08779999999999999,0.4459,0.1216,0.0473,0.0068000000000000005,0.1081,0.0405,0.0068000000000000005,0.027000000000000003,0.1014,0.013500000000000002,0.0068000000000000005,0.0203,0.0068000000000000005,0.027000000000000003,0.0,0.013500000000000002,0.0473,0.0473,0.08109999999999999,0.0068000000000000005,0.0,0.0068000000000000005,0.0,0.0473,0.0,0.027000000000000003,0.013500000000000002,0.0068000000000000005,0.0068000000000000005,0.0203,0.0203,0.013500000000000002,0.1081,0.08779999999999999,0.0541,0.0676,0.223,0.0405,0.0203,0.0068000000000000005,0.0,0.0,0.013500000000000002,0.1284,0.08779999999999999,0.5676,0.0676,0.0068000000000000005,0.2162,0.223,0.25,0.4324,0.3176,0.0473,0.16219999999999998,0.0541,0.0068000000000000005,0.0338,0.0338,0.027000000000000003,0.0676,0.08779999999999999,0.0,0.0405,0.1149,0.013500000000000002,0.14859999999999998,0.0068000000000000005,0.08779999999999999,0.0541,0.0068000000000000005,0.0541,0.0068000000000000005,0.1014,0.14859999999999998,0.0,0.0068000000000000005,0.0608,0.013500000000000002,0.0541,0.027000000000000003,0.0405,0.0405,0.0473,0.0068000000000000005,0.027000000000000003,0.1892,0.1419,0.0068000000000000005,0.1216,0.3378,0.0473,0.1689
c1ccc2[nH]ccc2c1,0.0072,0.0,0.0072,0.0072,0.0,0.0,0.0,0.0,0.0072,0.0072,0.0144,0.0072,0.0,0.0863,0.0288,0.0144,0.036000000000000004,0.0072,0.0863,0.0719,0.1223,0.2158,0.0,0.0144,0.0288,0.0072,0.0072,0.036000000000000004,0.0144,0.0,0.0072,0.0,0.0144,0.0,0.0,0.0072,0.0072,0.0,0.2086,0.1079,0.3165,0.0,0.1439,0.0288,0.0072,0.0,0.1367,0.0072,0.0,0.0216,0.0144,0.0072,0.0,0.0,0.0288,0.0935,0.0647,0.0144,0.0,0.0288,0.0,0.0504,0.0072,0.0072,0.0144,0.0216,0.0,0.0288,0.0216,0.0216,0.0719,0.0216,0.0216,0.0863,0.2518,0.0072,0.0719,0.0072,0.0,0.0,0.0,0.036000000000000004,0.0144,0.1655,0.0504,0.0072,0.1655,0.1655,0.1583,0.0647,0.2374,0.0647,0.2014,0.0791,0.0,0.0791,0.0504,0.0504,0.036000000000000004,0.0072,0.0216,0.0432,0.0576,0.0288,0.1007,0.0,0.0719,0.0647,0.0072,0.0288,0.0072,0.1151,0.2446,0.0072,0.0576,0.0504,0.0288,0.0432,0.0288,0.1439,0.0432,0.2014,0.1727,0.1007,0.3309,0.0647,0.0,0.1007,0.2878,0.036000000000000004,0.1439
CCCCCCCCO,0.0786,0.0857,0.0071,0.0214,0.0143,0.0,0.0,0.0,0.0071,0.0143,0.0,0.0071,0.0071,0.0786,0.0429,0.0214,0.0429,0.0143,0.0643,0.07139999999999999,0.2643,0.2857,0.0143,0.0071,0.1143,0.0143,0.1071,0.07139999999999999,0.0,0.0071,0.0143,0.0143,0.0071,0.0071,0.0143,0.0071,0.0143,0.0643,0.3,0.0429,0.0357,0.0286,0.0857,0.0429,0.0071,0.0071,0.15,0.0071,0.0071,0.0357,0.0,0.0,0.05,0.0,0.0429,0.1071,0.1214,0.05,0.0143,0.0286,0.0214,0.1214,0.0,0.0214,0.0071,0.0143,0.0071,0.0143,0.0,0.17859999999999998,0.0571,0.0857,0.0214,0.1286,0.2071,0.0143,0.0,0.0214,0.0357,0.0214,0.0,0.07139999999999999,0.0286,0.0929,0.0286,0.0,0.0357,0.0429,0.1429,0.15710000000000002,0.2357,0.0643,0.2643,0.1286,0.0,0.0571,0.0071,0.0071,0.0071,0.0071,0.0,0.0429,0.0286,0.0143,0.3143,0.0286,0.1714,0.0929,0.0214,0.0143,0.0071,0.2286,0.1643,0.0143,0.0286,0.0286,0.0,0.07139999999999999,0.0143,0.0214,0.0357,0.0571,0.0071,0.0,0.1643,0.13570000000000002,0.0214,0.1429,0.2357,0.0857,0.15710000000000002
O=C(O)Cc1ccccc1,0.0244,0.0244,0.008100000000000001,0.0,0.0163,0.008100000000000001,0.0,0.0,0.0,0.008100000000000001,0.0163,0.008100000000000001,0.0,0.2276,0.0976,0.0407,0.0244,0.0488,0.08130000000000001,0.1545,0.2602,0.2114,0.1138,0.0,0.0163,0.0163,0.0163,0.0407,0.008100000000000001,0.0,0.0,0.0,0.0,0.008100000000000001,0.0,0.008100000000000001,0.008100000000000001,0.008100000000000001,0.122,0.0244,0.0244,0.0,0.0488,0.008100000000000001,0.008100000000000001,0.0325,0.2439,0.0,0.0325,0.0,0.0163,0.0,0.0,0.0,0.0,0.008100000000000001,0.0163,0.0163,0.0,0.0244,0.0244,0.0732,0.008100000000000001,0.0244,0.0163,0.0244,0.0,0.0325,0.0163,0.065,0.008100000000000001,0.0163,0.0163,0.05690000000000001,0.16260000000000002,0.0,0.008100000000000001,0.008100000000000001,0.0,0.0,0.0,0.0163,0.0325,0.065,0.0488,0.0,0.0,0.008100000000000001,0.0407,0.0488,0.08130000000000001,0.008100000000000001,0.1789,0.187,0.0,0.0894,0.2439,0.0976,0.0244,0.0,0.0325,0.0,0.0325,0.008100000000000001,0.0732,0.0,0.008100000000000001,0.0163,0.0,0.008100000000000001,0.0,0.1138,0.2358,0.008100000000000001,0.008100000000000001,0.0325,0.008100000000000001,0.0407,0.008100000000000001,0.0488,0.0407,0.1057,0.05690000000000001,0.0325,0.3496,0.0976,0.0,0.1057,0.2764,0.0488,0.1463
c1ccncc1,0.0067,0.0034,0.0,0.0,0.0034,0.0034,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.013500000000000002,0.0034,0.0034,0.0034,0.0,0.0775,0.0101,0.1146,0.2121,0.0034,0.0034,0.0303,0.0504,0.0168,0.0505,0.0034,0.0,0.0,0.0034,0.0236,0.0067,0.013500000000000002,0.0472,0.0134,0.0236,0.0809,0.0067,0.0236,0.0034,0.0473,0.013500000000000002,0.0,0.0101,0.0607,0.0067,0.0101,0.0236,0.0,0.013500000000000002,0.0,0.0,0.0909,0.1281,0.0337,0.0068000000000000005,0.0101,0.0202,0.0202,0.0337,0.0067,0.0101,0.0034,0.0303,0.0,0.0674,0.013500000000000002,0.0034,0.0472,0.0202,0.0101,0.0775,0.1482,0.0236,0.0304,0.0236,0.0101,0.0,0.0034,0.0202,0.0169,0.1516,0.0068000000000000005,0.0067,0.0505,0.0876,0.1044,0.1887,0.4075,0.0808,0.4849,0.2222,0.0404,0.1616,0.0808,0.1044,0.293,0.0908,0.0371,0.0404,0.0168,0.0337,0.1919,0.0134,0.0472,0.0404,0.0034,0.0269,0.0101,0.2795,0.1953,0.0134,0.1112,0.1752,0.1819,0.0674,0.0977,0.0843,0.1247,0.4074,0.0842,0.182,0.7306999999999999,0.0101,0.0068000000000000005,0.0404,0.458,0.0303,0.0977
