Stimulus,Subject,EC50 (uM)
(E)-34,OR5AN1,0.03
(E)-36,OR5AN1,14.07
(E)-37,OR5AN1,7.22
(R)-1,OR5AN1,19.94
(Z)-32,OR5AN1,17.25
(Z)-34,OR5AN1,3.77
(Z)-37,OR5AN1,23.33
1,OR1A1,
1,OR5AN1,14.21
10,OR1A1,
10,OR5AN1,9.15 
11,OR1A1,
11,OR5AN1,5.23 
12,OR1A1,
12,OR5AN1,3.43 
13,OR1A1,
13,OR5AN1,
14,OR1A1,
14,OR5AN1,
15,OR1A1,
15,OR5AN1,
16,OR1A1,
16,OR5AN1,
17,OR1A1,
17,OR5AN1,
18,OR1A1,
18,OR5AN1,
19,OR1A1,
19,OR5AN1,0.02
2,OR1A1,
2,OR5AN1,7.32 
20,OR1A1,15.71 
20,OR5AN1,1.28
21,OR1A1,16.67 
21,OR5AN1,1.74 
22,OR1A1,7.69 
22,OR5AN1,
23,OR1A1,
23,OR5AN1,
24,OR1A1,
24,OR5AN1,
25,OR1A1,
25,OR5AN1,
26,OR1A1,
26,OR5AN1,
27,OR1A1,
27,OR5AN1,
28,OR5AN1,4.63
29,OR5AN1,12.56
3,OR1A1,
3,OR5AN1,9.05 
30,OR5AN1,3.23
31,OR5AN1,11.20
32,OR5AN1,15.47
33,OR5AN1,10.75
35,OR5AN1,0.27
4,OR1A1,
4,OR5AN1,
5,OR1A1,
5,OR5AN1,10.58 
6,OR1A1,
6,OR5AN1,
7,OR1A1,
7,OR5AN1,
8,OR1A1,
8,OR5AN1,19.00 
9,OR1A1,
9,OR5AN1,4.78 
