CAS	Name	I_max	C	D
37609-25-9	(5Z)-cyclohexadec-5-en-1-one	14.5	-2.48	0.27
470-82-6	1,8-cineol	58.98	1.41	0.86
112-45-8	10-undecenal	60.03	0.29	0.75
3391-86-4	1-octen-3-ol	41.28	0.93	0.62
2442-10-6	1-octen-3-yl acetate	54.08	1.66	0.87
29895-73-6	2-(phenylmethyl)-1,3-dioxan-5-ol	40.75	-1.85	0.55
140-88-5	2,6-nonadienal	48.08	0.42	0.85
28069-72-9	2,6-nonadienol	47.41	-0.27	0.6
110-41-8	2-methyl undecanal	48.3	0.67	0.53
3452-97-9	3,5,5-trimethyl-1-hexanol	41.11	1.76	0.38
122-97-4	3-phenylpropyl alcohol	41.32	0.02	0.38
534-15-6	acetaldehyde dimethyl acetal	66.44	3.02	0.92
513-86-0	acetoin	49.69	0.9	0.76
98-86-2	acetophenone	67.67	0.97	0.68
80449-58-7	acetyl cedrene	37.09	-0.64	0.61
93-28-7	acetyl eugenol	18.31	-0.82	0.43
93-29-8	acetyl isoeugenol	29.42	-2.35	0.54
77-83-8	aldehyde c-16 strawberry	37.65	0.23	0.48
79-78-7	allyl alpha-ionone	30.67	-0.57	0.26
124899-75-8	allyl amyl glycolate	59.5	0.15	0.6
2705-87-5	allyl cyclohexane propionate	45.18	0.96	0.49
68901-15-5	allyl cyclohexyl glycolate	36.2	-1.08	0.4
142-19-8	allyl heptanoate	40.73	0.69	0.69
123-68-2	allyl hexanoate	61.79	1.6	0.8
7493-74-5	allyl phenoxyacetate	24.82	-0.02	0.25
43052-87-5	alpha-damascone	49.33	0.35	0.54
127-41-3	alpha-ionone	37.15	1.31	0.19
7785-26-4	alpha-pinene	47.36	2.08	0.79
99-86-5	alpha-terpinene	56.48	1.5	0.77
98-55-5	alpha-terpineol	34.59	0.83	0.48
139504-68-0	amber core	6.93	0.05	0.37
3738-00-9	ambrotech	23.86	-0.67	0.11
6790-58-5	ambroxan	29.65	-0.91	0.47
122-40-7	amyl cinnamaldehyde	30.79	-1.86	0.34
2050-08-0	amyl salicylate	15.2	-1.2	0.11
105-13-5	anis alcohol	24.23	-1.15	0.37
123-11-5	anis aldehyde	39.89	0.67	0.4
104-21-2	anisyl acetate	19.56	-0.73	0.45
104-20-1	anisyl acetone	29.82	-1.19	0.45
67845-30-1	bark carbaldehyde	41.75	-0.43	0.61
100-52-7	benzaldehyde	62.02	1.23	0.69
140-11-4	benzyl acetate	35.31	0.74	0.43
100-51-6	benzyl alcohol	30.28	1.49	0.33
120-51-4	benzyl benzoate	13.25	-2.37	0.16
104-57-4	benzyl formate	31.57	1.67	0.55
103-28-6	benzyl isobutyrate	29.67	1.31	0.37
103-37-7	benzyl n-butyrate	39.93	0.53	0.33
122-63-4	benzyl propionate	34.24	0.86	0.28
118-58-1	benzyl salicylate	7.2	-2.78	0.6
87-44-5	beta-caryophyllene	20.21	1.71	0.1
35044-68-9	beta-damascone	47.67	-0.15	0.49
14901-07-6	beta-ionone	53.35	-0.09	0.68
23267-57-4	beta-ionone epoxide	9.25	-0.06	0.11
127-91-3	beta-pinene	44.33	2.08	0.6
58567-11-6	boisambrene forte	8.9	-0.51	0.67
507-70-0	borneol	43.67	-0.07	0.52
123-86-4	butyl acetate	81.23	2.54	0.89
109-21-7	butyl butyrate	60.49	2.29	0.67
28940-11-6	calone	44.56	-0.65	0.46
79-92-5	camphene	41.88	2.38	0.36
464-49-3	camphor	51.04	1.47	0.51
5462-06-6	canthoxal	35.03	-0.57	0.23
33704-61-9	cashmerane	35.04	0.95	0.63
77-53-2	cedrol	6.73	-0.8	0.14
77-54-3	cedryl acetate	29.89	-0.94	0.29
67874-81-1	cedryl methyl ether	18.8	0.25	0.41
13171-00-1	celestolide	14.74	-2.03	0.38
4407-36-7	cinnamic alcohol	34.87	-1.61	0.36
104-55-2	cinnamic aldehyde	40.44	0.62	0.07
103-54-8	cinnamyl acetate	41.42	-1.39	0.62
928-96-1	cis-3-hexenol	57.45	0.85	0.59
3681-71-8	cis-3-hexenyl acetate	71.83	1.35	0.84
25152-85-6	cis-3-hexenyl benzoate	34.77	-1.53	0.52
16491-36-4	cis-3-hexenyl butyrate	50.27	0.97	0.71
31501-11-8	cis-3-hexenyl hexanoate	49.56	0.71	0.58
41519-23-7	cis-3-hexenyl isobutyrate	56.99	1.89	0.43
65405-77-8	cis-3-hexenyl salicylate	23.36	-1.17	0.13
67883-79-8	cis-3-hexenyl tiglate	44.85	0.01	0.63
21662-09-9	cis-4-decenal	60.69	0.42	0.77
6728-31-0	cis-4-heptenal	79.63	-0.06	0.7
35854-86-5	cis-6-nonen-1-ol	26.97	-0.65	0.47
2277-19-2	cis-6-nonenal	59.93	-0.19	0.87
488-10-8	cis-jasmone	40.15	-0.35	0.28
5392-40-5	citral	44.11	0.66	0.66
106-23-0	citronellal	52.79	0.58	0.52
26489-01-0	citronellol	32.29	0.72	0.53
150-84-5	citronellyl acetate	39.95	0.08	0.39
105-85-1	citronellyl formate	54.74	0.97	0.65
97-89-2	citronellyl isobutyrate	24.9	0.65	0.44
91-64-5	coumarin	26.79	-0.68	0.77
122-03-2	cumin aldehyde	49.53	1.29	0.47
103-95-7	cyclamen aldehyde	29.71	-0.7	0.44
25485-88-5	cyclohexyl salicylate	10.07	-1.09	0.51
80-71-7	cyclotene	46.43	-0.59	0.32
23726-93-4	damascenone	55.82	-1.5	0.44
112-31-2	decanal	76.62	-0.46	0.74
112-30-1	decanol	14.99	-0.54	0.5
34131-98-1	decatone	22.65	-0.5	0.14
13019-22-2	decenol	19.69	-0.98	0.37
57378-68-4	delta-damascone	50.03	0.6	0.72
705-86-2	delta-decalactone	40.11	-0.91	0.1
713-95-1	delta-dodecalactone	27.46	-1.83	0.35
3301-94-8	delta-nonalactone	35.68	0.01	0.19
710-04-3	delta-undecalactone	32.98	-1.23	0.13
108-59-8	diethyl malonate	35.24	1.3	0.36
17283-81-7	dihydro beta-ionone	29.83	0.64	0.45
2785-87-7	dihydro eugenol	34.34	1.7	0.17
1128-08-1	dihydro jasmone	39.88	-0.06	0.44
18479-58-8	dihydro myrcenol	45.47	0.88	0.83
58985-02-7	dihydro terpineol	44.64	1.54	0.46
151-05-3	dimethy benzyl carbinyl acetate	34.97	1.21	0.45
100-86-7	dimethyl benzyl carbinol	19.81	1.34	0.39
10094-34-5	dimethyl benzyl carbinyl butyrate	32.43	0.47	0.3
2550-11-0	dimethyl octenone	42.75	1.58	0.49
103-05-9	dimethyl phenyl ethyl carbinol	35.47	0.31	0.47
13254-34-7	dimetol	42.89	0.76	0.58
101-84-8	diphenyl oxide	40.0	0.96	0.42
112-54-9	dodecanal	50.27	0.94	0.29
56973-85-4	dynascone	54.96	-0.06	0.97
7452-79-1	ethyl 2-methyl butyrate	77.55	0.63	1.21
141-78-6	ethyl acetate	35.06	2.95	0.35
141-97-9	ethyl acetoacetate	44.94	1.36	0.45
93-89-0	ethyl benzoate	49.9	0.16	0.51
105-54-4	ethyl butyrate	81.16	2.62	1.2
4192-77-2	ethyl cinnamate	26.9	-1.52	0.56
110-38-3	ethyl decanoate	27.8	0.8	0.48
