Test UID,Subject,Correct
1,1,False
1,2,True
1,3,False
1,4,True
1,5,True
1,6,True
1,7,False
1,8,False
1,9,True
1,10,True
1,11,True
1,12,False
1,13,True
1,14,False
1,15,True
1,16,False
1,17,False
1,18,False
1,19,False
1,20,True
1,21,True
1,22,False
1,23,True
1,24,True
1,25,True
1,26,True
2,1,True
2,2,False
2,3,False
2,4,False
2,5,True
2,6,True
2,7,False
2,8,False
2,9,True
2,10,True
2,11,True
2,12,True
2,13,True
2,14,True
2,15,True
2,16,False
2,17,False
2,18,True
2,19,True
2,20,True
2,21,True
2,22,True
2,23,True
2,24,False
2,25,True
2,26,True
3,1,False
3,2,False
3,3,False
3,4,False
3,5,True
3,6,False
3,7,True
3,8,False
3,9,False
3,10,False
3,11,False
3,12,True
3,13,True
3,14,False
3,15,False
3,16,True
3,17,True
3,18,False
3,19,False
3,20,False
3,21,False
3,22,False
3,23,False
3,24,False
3,25,False
3,26,True
4,1,False
4,2,False
4,3,False
4,4,True
4,5,True
4,6,False
4,7,True
4,8,False
4,9,True
4,10,True
4,11,False
4,12,True
4,13,True
4,14,True
4,15,True
4,16,False
4,17,False
4,18,True
4,19,False
4,20,True
4,21,False
4,22,True
4,23,False
4,24,False
4,25,True
4,26,True
5,1,False
5,2,True
5,3,True
5,4,False
5,5,False
5,6,False
5,7,False
5,8,True
5,9,True
5,10,False
5,11,True
5,12,False
5,13,True
5,14,True
5,15,True
5,16,False
5,17,False
5,18,True
5,19,True
5,20,False
5,21,True
5,22,True
5,23,False
5,24,True
5,25,True
5,26,True
6,1,True
6,2,False
6,3,False
6,4,True
6,5,True
6,6,True
6,7,True
6,8,False
6,9,False
6,10,False
6,11,False
6,12,False
6,13,False
6,14,False
6,15,False
6,16,False
6,17,False
6,18,False
6,19,True
6,20,False
6,21,False
6,22,True
6,23,False
6,24,True
6,25,False
6,26,False
7,1,False
7,2,True
7,3,False
7,4,False
7,5,True
7,6,True
7,7,True
7,8,False
7,9,False
7,10,True
7,11,False
7,12,False
7,13,False
7,14,False
7,15,True
7,16,False
7,17,True
7,18,False
7,19,False
7,20,False
7,21,True
7,22,True
7,23,True
7,24,True
7,25,True
7,26,True
8,1,True
8,2,True
8,3,True
8,4,False
8,5,True
8,6,True
8,7,False
8,8,True
8,9,True
8,10,True
8,11,True
8,12,False
8,13,True
8,14,True
8,15,True
8,16,True
8,17,True
8,18,True
8,19,False
8,20,True
8,21,False
8,22,True
8,23,True
8,24,True
8,25,False
8,26,True
9,1,False
9,2,True
9,3,False
9,4,False
9,5,False
9,6,False
9,7,False
9,8,False
9,9,True
9,10,False
9,11,False
9,12,False
9,13,False
9,14,False
9,15,True
9,16,True
9,17,True
9,18,True
9,19,False
9,20,True
9,21,False
9,22,False
9,23,True
9,24,False
9,25,True
9,26,False
10,1,False
10,2,True
10,3,True
10,4,False
10,5,True
10,6,True
10,7,False
10,8,False
10,9,False
10,10,False
10,11,False
10,12,False
10,13,False
10,14,False
10,15,True
10,16,False
10,17,True
10,18,True
10,19,False
10,20,True
10,21,True
10,22,True
10,23,True
10,24,True
10,25,True
10,26,True
11,1,False
11,2,False
11,3,True
11,4,False
11,5,True
11,6,True
11,7,True
11,8,False
11,9,False
11,10,False
11,11,True
11,12,True
11,13,False
11,14,True
11,15,False
11,16,True
11,17,True
11,18,True
11,19,False
11,20,False
11,21,True
11,22,False
11,23,True
11,24,False
11,25,True
11,26,False
12,1,False
12,2,False
12,3,True
12,4,True
12,5,True
12,6,True
12,7,True
12,8,True
12,9,True
12,10,True
12,11,True
12,12,False
12,13,False
12,14,True
12,15,False
12,16,False
12,17,False
12,18,True
12,19,False
12,20,True
12,21,True
12,22,True
12,23,False
12,24,True
12,25,True
12,26,True
13,1,False
13,2,True
13,3,True
13,4,False
13,5,True
13,6,True
13,7,False
13,8,False
13,9,True
13,10,True
13,11,True
13,12,True
13,13,True
13,14,True
13,15,False
13,16,True
13,17,True
13,18,True
13,19,True
13,20,True
13,21,True
13,22,True
13,23,True
13,24,True
13,25,True
13,26,False
14,1,True
14,2,False
14,3,True
14,4,True
14,5,True
14,6,True
14,7,True
14,8,True
14,9,True
14,10,True
14,11,False
14,12,False
14,13,True
14,14,True
14,15,True
14,16,True
14,17,True
14,18,False
14,19,True
14,20,False
14,21,True
14,22,True
14,23,True
14,24,True
14,25,True
14,26,True
15,1,False
15,2,True
15,3,True
15,4,False
15,5,True
15,6,False
15,7,True
15,8,True
15,9,False
15,10,False
15,11,True
15,12,False
15,13,True
15,14,True
15,15,False
15,16,True
15,17,True
15,18,True
15,19,True
15,20,True
15,21,True
15,22,True
15,23,True
15,24,True
15,25,True
15,26,True
16,1,False
16,2,False
16,3,True
16,4,False
16,5,True
16,6,False
16,7,False
16,8,True
16,9,True
16,10,True
16,11,False
16,12,True
16,13,True
16,14,True
16,15,False
16,16,True
16,17,True
16,18,False
16,19,True
16,20,True
16,21,False
16,22,True
16,23,True
16,24,False
16,25,True
16,26,True
17,1,False
17,2,True
17,3,False
17,4,False
17,5,True
17,6,True
17,7,True
17,8,False
17,9,True
17,10,False
17,11,False
17,12,True
17,13,False
17,14,False
17,15,False
17,16,False
17,17,True
17,18,True
17,19,False
17,20,False
17,21,True
17,22,True
17,23,False
17,24,True
17,25,False
17,26,False
18,1,True
18,2,True
18,3,False
18,4,True
18,5,False
18,6,False
18,7,False
18,8,False
18,9,True
18,10,True
18,11,True
18,12,False
18,13,True
18,14,True
18,15,True
18,16,False
18,17,False
18,18,True
18,19,True
18,20,False
18,21,True
18,22,False
18,23,False
18,24,True
18,25,True
18,26,True
19,1,False
19,2,True
19,3,False
19,4,False
19,5,True
19,6,False
19,7,True
19,8,True
19,9,False
19,10,True
19,11,False
19,12,True
19,13,False
19,14,False
19,15,True
19,16,True
19,17,True
19,18,False
19,19,True
19,20,False
19,21,True
19,22,True
19,23,True
19,24,False
19,25,True
19,26,True
20,1,False
20,2,True
20,3,False
20,4,True
20,5,True
20,6,False
20,7,True
20,8,True
20,9,False
20,10,False
20,11,True
20,12,True
20,13,True
20,14,True
20,15,False
20,16,True
20,17,True
20,18,True
20,19,False
20,20,True
20,21,False
20,22,False
20,23,True
20,24,True
20,25,True
20,26,False
21,1,False
21,2,True
21,3,True
21,4,False
21,5,False
21,6,False
21,7,False
21,8,False
21,9,False
21,10,True
21,11,False
21,12,True
21,13,False
21,14,True
21,15,False
21,16,True
21,17,False
21,18,True
21,19,False
21,20,True
21,21,True
21,22,True
21,23,True
21,24,True
21,25,True
21,26,True
22,1,False
22,2,False
22,3,True
22,4,False
22,5,True
22,6,True
22,7,False
22,8,True
22,9,False
22,10,False
22,11,True
22,12,True
22,13,False
22,14,True
22,15,False
22,16,True
22,17,False
22,18,False
22,19,True
22,20,True
22,21,False
22,22,False
22,23,False
22,24,True
22,25,True
22,26,True
23,1,True
23,2,False
23,3,True
23,4,True
23,5,False
23,6,False
23,7,False
23,8,False
23,9,False
23,10,True
23,11,False
23,12,True
23,13,False
23,14,False
23,15,True
23,16,False
23,17,True
23,18,True
23,19,True
23,20,True
23,21,True
23,22,True
23,23,True
23,24,False
23,25,True
23,26,True
24,1,False
24,2,True
24,3,True
24,4,True
24,5,False
24,6,False
24,7,True
24,8,True
24,9,True
24,10,True
24,11,False
24,12,True
24,13,True
24,14,True
24,15,True
24,16,True
24,17,False
24,18,True
24,19,True
24,20,True
24,21,True
24,22,True
24,23,True
24,24,True
24,25,True
24,26,True
25,1,False
25,2,False
25,3,True
25,4,False
25,5,False
25,6,False
25,7,False
25,8,True
25,9,False
25,10,True
25,11,True
25,12,True
25,13,False
25,14,False
25,15,True
25,16,False
25,17,False
25,18,False
25,19,False
25,20,False
25,21,False
25,22,False
25,23,False
25,24,False
25,25,False
25,26,True
26,1,False
26,2,True
26,3,False
26,4,False
26,5,False
26,6,False
26,7,False
26,8,True
26,9,False
26,10,True
26,11,False
26,12,True
26,13,False
26,14,False
26,15,True
26,16,False
26,17,False
26,18,False
26,19,True
26,20,False
26,21,True
26,22,False
26,23,False
26,24,False
26,25,True
26,26,False
27,1,True
27,2,True
27,3,False
27,4,True
27,5,False
27,6,False
27,7,True
27,8,True
27,9,False
27,10,False
27,11,True
27,12,True
27,13,False
27,14,True
27,15,True
