Odor	CASRegistryNum	OdorName	CID	SMILES
1024	2244-16-8	(+)-carvone	16724	CC1=CC[C@@H](CC1=O)C(=C)C
1025	6485-40-1	(-)-carvone	439570	CC1=CC[C@H](CC1=O)C(=C)C
1064	111-71-7	heptaldehyde	8130	CCCCCCC=O
1067	111-14-8	heptanoic acid	8094	CCCCCCC(=O)O
1069	79-09-4	propionic acid	1032	CCC(=O)O
1078	628-63-7	n-amyl acetate	12348	CCCCCOC(=O)C
1081	106-24-1	geraniol	637566	CC(=CCCC(=CCO)C)C
1089	71-43-2	benzene	241	C1=CC=CC=C1
1101	123-11-5	anisaldehyde	31244	COC1=CC=C(C=C1)C=O
1111	14371-10-9	cinnamaldehyde	637511	C1=CC=C(C=C1)C=CC=O
1113	5949-05-3	(-)-citronellal	443157	CC(CCC=C(C)C)CC=O
1115	91-64-5	coumarin	323	C1=CC=C2C(=C1)C=CC(=O)O2
1116	108-94-1	Cyclohexanone	7967	C1CCC(=O)CC1
1117	99-87-6	p-cymene	7463	CC1=CC=C(C=C1)C(C)C
1118	126-81-8	"5,5-Dimethyl-1,3-cyclohexanedione"	31358	CC1(CC(=O)CC(=O)C1)C
1145	110-43-0	2-heptanone	8051	CCCCCC(=O)C
1147	97-53-0	eugenol	3314	COC1=C(C=CC(=C1)CC=C)O
1155	123-99-9	nonanedioic acid	2266	C(CCCC(=O)O)CCCC(=O)O
1164	111-87-5	1-octanol	957	CCCCCCCCO
1171	124-19-6	nonanal	31289	CCCCCCCCC=O
1172	121-32-4	ethyl vanillin	8467	CCOC1=C(C=CC(=C1)C=O)O
1174	98-86-2	acetophenone	7410	CC(=O)C1=CC=CC=C1
1190	1128-08-1	dihydrojasmone	62378	CCCCCC1=C(CCC1=O)C
1191	1797-74-6	allyl phenylacetate	15717	C=CCOC(=O)CC1=CC=CC=C1
1192	2550-40-5	dicyclohexyl disulfide	17356	C1CCC(CC1)SSC2CCCCC2
1202	4437-20-1	coffee difuran	20499	C1=COC(=C1)CSSCC2=CC=CO2
1203	68-11-1	thioglycolic acid	1133	C(C(=O)O)S
1210	110-86-1	pyridine	1049	C1=CC=NC=C1
1213	513-44-0	2-methyl-1-propanethiol	10558	CC(C)CS
1262	14901-07-6	beta-Ionone 	638014	CC1=C(C(CCC1)(C)C)C=CC(=O)C
1274	111-88-6	1-octanethiol	8144	CCCCCCCCS
1278	60633-24-1	TMT	181287	CC1C(=NC(S1)C)C
1281	2216-51-5	(-)-menthol	16666	CC1CCC(C(C1)O)C(C)C
1282	15356-60-2	(+)-menthol	165675	CC1CCC(C(C1)O)C(C)C
1283	71-36-3	1-butanol	263	CCCCO
1284	78-93-3	2-butanone	6569	CCC(=O)C
1285	3913-71-1	2-decenal	5283345	CCCCCCCC=CC=O
1286	18368-91-7	2-ethylfenchol	106997	CCC1(C(C2CCC1(C2)C)(C)C)O
1287	93-51-6	2-methoxy-4-methylphenol	7144	CC1=CC(=C(C=C1)O)OC
1288	646-07-1	4-methylvaleric acid	12587	CC(C)CCC(=O)O
1289	8015-62-1	ambrette	N/A	N/A
1290	18339-16-7	androstenone	6852393	CC12CCC3C(C1CC=C2)CCC4C3(CCC(=O)C4)C
1291	8007-70-3	anise	N/A	N/A
1292	N/A	banana	N/A	N/A
1293	18127-01-0	bourgeonal	64832	CC(C)(C)C1=CC=C(C=C1)CCC=O
1294	123-86-4	butyl acetate	31272	CCCCOC(=O)C
1295	107-92-6	butyric acid	264	CCCC(=O)O
1296	142-62-1	caproic acid	8892	CCCCCC(=O)O
1297	68990-83-0	cedarwood	N/A	N/A
1298	470-82-6	cineole	2758	CC1(C2CCC(O1)(CC2)C)C
1299	8015-91-6	cinnamon	N/A	N/A
1300	928-96-1	cis-3-hexen-1-ol	5281167	CCC=CCCO
1301	5392-40-5	citral	638011	CC(=CCCC(=CC=O)C)C
1302	8000-29-1	citronella	N/A	N/A
1303	112-31-2	decyl aldehyde	8175	CCCCCCCCCC=O
1304	431-03-8	diacetyl	650	CC(=O)C(=O)C
1305	592-88-1	diallyl sulfide	11617	C=CCSCC=C
1306	101-84-8	diphenyl ether	7583	C1=CC=C(C=C1)OC2=CC=CC=C2
1307	121-32-4	ethyl vanillin	8467	CCOC1=C(C=CC(=C1)C=O)O
1308	105-95-3	ethylene brassylate	61014	C1CCCCCC(=O)OCCOC(=O)CCCCC1
1309	97-53-0	eugenol	3314	COC1=C(C=CC(=C1)CC=C)O
1310	93-28-7	eugenol acetate	7136	CC(=O)OC1=C(C=C(C=C1)CC=C)OC
1311	93-15-2	eugenol methyl ether	7127	COC1=C(C=C(C=C1)CC=C)OC
1312	7787-20-4	fenchone	82229	CC1(C2CCC(C2)(C1=O)C)C
1313	N/A	fir	N/A	N/A
1314	1222-05-5	galaxolide	91497	CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C
1315	4075-07-4	androstadienone	92979	CC12CCC3C(C1CC=C2)CCC4=CC(=O)CCC34C
1316	105-87-3	geranyl acetate	1549026	CC(=CCCC(=CCOC(=O)C)C)C
1317	90-05-1	guaiacol	460	COC1=CC=CC=C1O
1318	111-71-7	heptaldehyde	8130	CCCCCCC=O
1319	112-06-1	heptyl acetate	8159	CCCCCCCOC(=O)C
1320	2639-63-6	hexyl butyrate	17525	CCCCCCOC(=O)CCC
1321	125-12-2	isobornyl acetate	247573	CC(=O)OC1CC2CCC1(C2(C)C)C
1322	78-84-2	isobutyraldehyde	6561	CC(C)C=O
1323	79-31-2	isobutyric acid	6590	CC(C)C(=O)O
1324	97-54-1	isoeugenol	853433	CC=CC1=CC(=C(C=C1)O)OC
1325	503-74-2	isovaleric acid	10430	CC(C)CC(=O)O
1326	8022-96-6	jasmine	N/A	N/A
1327	8008-26-2	lime	N/A	N/A
1328	78-70-6	linalool	6549	CC(=CCCC(C)(C=C)O)C
1329	74-93-1	methanethiol	878	CS
1330	119-36-8	methyl salicylate	4133	COC(=O)C1=CC=CC=C1O
1331	124-19-6	nonyl aldehyde	31289	CCCCCCCCC=O
1332	8008-45-5	nutmeg	N/A	N/A
1333	112-14-1	octyl acetate	8164	CCCCCCCCOC(=O)C
1334	124-13-0	octyl aldehyde	454	CCCCCCCC=O
1335	8008-57-9	orange	N/A	N/A
1336	106-02-5	pentadecalactone	235414	C1CCCCCCCOC(=O)CCCCCC1
1337	122-78-1	phenyl acetaldehyde	998	C1=CC=C(C=C1)CC=O
1338	290-37-9	pyrazine	9261	C1=CN=CC=N1
1339	6485-40-1	r-carvone	439570	CC1=CCC(CC1=O)C(=C)C
1340	5989-27-5	r-limonene	440917	C1=CCC(CC1)C(=C)C
1341	8006-87-9	sandalwood	N/A	N/A
1342	8008-79-5	spearmint	N/A	N/A
1343	98-55-5	terpineol	17100	CC1=CCC(CC1)C(C)(C)O
1344	80-26-2	terpinyl acetate	111037	CC1=CCC(CC1)C(C)(C)OC(=O)C
1345	112-44-7	undecanal	8186	CCCCCCCCCCC=O
1346	121-33-5	vanillin	1183	COC1=C(C=CC(=C1)C=O)O
1348	1205-17-0	helional	64805	CC(CC1=CC2=C(C=C1)OCO2)C=O
1360	91-22-5	quinoline	7047	C1=CC=C2C(=C1)C=CC=N2
1367	1117-55-1	hexyl octanoate	14228	CCCCCCCC(=O)OCCCCCC
1372	5524-05-0 	(+)-dihydrocarvone	22227	C[C@@H]1CC[C@H](CC1=O)C(=C)C
1375	93-58-3	methyl benzoate	7150	COC(=O)C1=CC=CC=C1
1376	5989-27-5	r-limonene	440917	C1=CCC(CC1)C(=C)C
1377	121-14-2	"2,4-DNT"	8461	CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
1378	80-54-6	lilial	228987	CC(CC1=CC=C(C=C1)C(C)(C)C)C=O
1379	31906-04-4	lyral	91604	CC(C)(CCCC1=CCC(CC1)C=O)O
1388	122-74-7	3-phenyl propyl propionate	61052	CCC(=O)OCCCC1=CC=CC=C1
1391	4674-50-4	amyl laurate	1268142	CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C
1396	28664-35-9	caramel furanone	62835	CC1C(=C(C(=O)O1)O)C
1410	111-11-5	methyl octanoate	8091	CCCCCCCC(=O)OC
1411	540-18-1	amyl butyrate	10890	CCCCCOC(=O)CCC
1412	2591-86-8	1-formylpiperidine	17429	C1CCN(CC1)C=O
1414	35205-70-0	3-methyl-2-hexenoic acid	193087	CCCC(=CC(=O)O)C
1416	7756-96-9	butyl anthranilate	24433	CCCCOC(=O)C1=CC=CC=C1N
2022	N/A	CD293	N/A	N/A
