CID,MolecularWeight,IsomericSMILES,IUPACName,name
241,78.11,C1=CC=CC=C1,benzene,benzene
263,74.12,CCCCO,butan-1-ol,1-butanol
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
307,132.16,C1=CC=C(C=C1)C=CC=O,3-phenylprop-2-enal,3-phenylprop-2-enal
323,146.14,C1=CC=C2C(=C1)C=CC(=O)O2,chromen-2-one,coumarin
454,128.21,CCCCCCCC=O,octanal,octanal
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
650,86.09,CC(=O)C(=O)C,"butane-2,3-dione","2,3-butanedione"
878,48.11,CS,methanethiol,methanethiol
957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
998,120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde
1032,74.08,CCC(=O)O,propanoic acid,propionic acid
1049,79.10,C1=CC=NC=C1,pyridine,pyridine
1133,92.12,C(C(=O)O)S,2-sulfanylacetic acid,mercaptoacetic acid
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
2266,188.22,C(CCCC(=O)O)CCCC(=O)O,nonanedioic acid,azelaic acid
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
4458,154.25,CC(=CCCC(=CCO)C)C,"3,7-dimethylocta-2,6-dien-1-ol","3,7-dimethyl-2,6-octadien-1-ol"
6448,196.29,CC(=O)OC1CC2CCC1(C2(C)C)C,"(1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl) acetate",bornyl acetate
6549,154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool
6561,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
6569,72.11,CCC(=O)C,butan-2-one,2-butanone
6590,88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid
7047,129.16,C1=CC=C2C(=C1)C=CC=N2,quinoline,quinoline
7127,178.23,COC1=C(C=C(C=C1)CC=C)OC,"1,2-dimethoxy-4-prop-2-enylbenzene",methyl eugenol
7136,206.24,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,(2-methoxy-4-prop-2-enylphenyl) acetate,eugenol acetate
7144,138.16,CC1=CC(=C(C=C1)O)OC,2-methoxy-4-methylphenol,2-methoxy-4-methylphenol
7150,136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate
7338,164.20,CC=CC1=CC(=C(C=C1)O)OC,2-methoxy-4-prop-1-enylphenol,2-methoxy-4-prop-1-enylphenol
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7439,150.22,CC1=CCC(CC1=O)C(=C)C,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,carvone
7463,134.22,CC1=CC=C(C=C1)C(C)C,1-methyl-4-propan-2-ylbenzene,p-cymene
7583,170.21,C1=CC=C(C=C1)OC2=CC=CC=C2,phenoxybenzene,diphenyl ether
7780,196.29,CC(=CCCC(=CCOC(=O)C)C)C,"3,7-dimethylocta-2,6-dienyl acetate","3,7-dimethylocta-2,6-dienyl acetate"
7794,154.25,CC(CCC=C(C)C)CC=O,"3,7-dimethyloct-6-enal",citronellal
7967,98.14,C1CCC(=O)CC1,cyclohexanone,cyclohexanone
8051,114.19,CCCCCC(=O)C,heptan-2-one,2-heptanone
8091,158.24,CCCCCCCC(=O)OC,methyl octanoate,methyl octanoate
8094,130.18,CCCCCCC(=O)O,heptanoic acid,heptanoic acid
8130,114.19,CCCCCCC=O,heptanal,heptanal
8144,146.30,CCCCCCCCS,octane-1-thiol,1-octanethiol
8159,158.24,CCCCCCCOC(=O)C,heptyl acetate,heptyl acetate
8164,172.26,CCCCCCCCOC(=O)C,octyl acetate,octyl acetate
8175,156.26,CCCCCCCCCC=O,decanal,decanal
8186,170.29,CCCCCCCCCCC=O,undecanal,undecanal
8461,182.13,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],"1-methyl-2,4-dinitrobenzene","2,4-dinitrotoluene"
8467,166.17,CCOC1=C(C=CC(=C1)C=O)O,3-ethoxy-4-hydroxybenzaldehyde,3-ethoxy-4-hydroxybenzaldehyde
8843,152.23,CC(=CCCC(=CC=O)C)C,"3,7-dimethylocta-2,6-dienal","3,7-dimethyl-2,6-octadienal"
8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid
9261,80.09,C1=CN=CC=N1,pyrazine,pyrazine
10430,102.13,CC(C)CC(=O)O,3-methylbutanoic acid,isovaleric acid
10558,90.19,CC(C)CS,2-methylpropane-1-thiol,isobutyl mercaptan
10890,158.24,CCCCCOC(=O)CCC,pentyl butanoate,pentyl butyrate
